키워드
"네트워크보안, 방화벽, 정보보안, 방화벽, 네트워크관리"
"솔루션영업, 의료기기영업, 기술영업, 소프트웨어개발, 국내영업"
"2D디자인, 전시디자인, 인테리어디자인, 전시디자인, 조경디자인"
"SNS마케팅, 키워드광고, 브랜딩, 온라인광고, 광고디자인"
"청소·미화, 청소·미화"
"한식당, 재고관리, 고객안내, 점포개발, 직영점운영"
"중식당, 메뉴개발, 메뉴기획, 한식, 서빙"
"재고관리, 음식료, 진열관리, 캐셔, 커피숍"
"고객관리, 영양, 기타외국어, 제약, 의료기기"
"내부감사, 자료조사, 납품영업, 문서작성, 유통영업"
"보안, 경비, 주차·출입관리, 경비"
"학원강사, 입시학원, 어학원, 영어학원, 영어"
"베이커리, 프랜차이즈, 파티쉐, 카페, 제과제빵점"
"화장품, 화장품, 제품개발, 제약·바이오R&D"
"솔루션영업, 자동차부품"
"소비재, 재단"
"화공, 화학"
화장품
통신
"성형외과, 수술실보조"
"상품기획, 쵤영보조, 촬영기자, 삽화·일러스트, 모바일디자인"
"물류, 경영기획, 비품관리, 자산관리, 복리후생"
"빅데이터, 데이터레이크, SI개발, 예체능, 서버관리"
"호텔, 양식당, 서빙"
"시설점검, 시설관리"
"SNS마케팅, 캐피탈, 카페·블로그관리, 키워드광고"
"시공관리, 자재구매, 가구, 자재구매"
"키워드광고, AMD, 매출관리, 바이럴마케팅, 가구"
"전산입력, 문서관리, 문서작성, 문서작성, 문서관리"
"모발·두피관리, 피부관리, 화장품판매, 마사지, 체형관리"
"ERP운용, 자재구매"
"납품영업, 재무상담, 보험영업, 컴퓨터, 부동산영업"
"프론트엔드, Flutter, 모바일App"
"방화벽, 하드웨어, 정보보안, 컴퓨터, 네트워크관리"
"모발·두피관리, 피부관리, 화장품판매, 마사지, 체형관리"
"제약영업, 상조영업, 컴퓨터, 부동산영업"
SI개발
"납품영업, 재무상담, 보험영업, 컴퓨터, 부동산영업"
"운동처방사, 피부관리, 물리치료사, 마사지, 체형관리"
"SM, 정보보안"
"모발·두피관리, 피부관리, 화장품판매, 마사지, 체형관리"
"마트, 진열, 판매, 판매관리, 판매영업"
"하드웨어, 컴퓨터, 유지보수"
"메뉴개발, 메뉴개발, 식품, 음식료, 베이커리"
"베이커리, 식품연구, 음식료, 파티쉐, 메뉴개발"
촬영보조
커피숍
"상품기획, B2C, 시스템운영, 서버구축, 시스템분석"
"거래처관리, 가맹점관리, 전자상거래, 매출관리, 대리점관리"
"단체급식, 축산"
"데이터분석, 콘텐츠기획, 게임기획, MMORPG, 서비스기획"
"제품출고, 배차, 건설자재"
"건설, 토목, 토목설계, 토목설계, 토목"
소프트웨어개발
"A·S수리, 기술지원, 유지보수, 하드웨어, 설치"
"학원강사, 교육상담, 입시학원, 어학원, 영어학원"
"마트, 창고관리, 할인점, 유통, 재고관리"
"CAD, 캐드, 옥외광고, Sign디자인, 일러스트"
"품질보증, HACCP, 식품가공"
"시스템영업, 기술영업, 장비영업, 하드웨어영업, 네트워크영업"
"토목감리, 토목설계, 건설안전, 토목감리"
"중식당, 한식당, 프랜차이즈, 양식당"
"입시학원, 학원강사, 입시학원, 영어학원, 영어"
"화물차운전, 택배"
"편집, 출판기획, 편집디자인, 출판"
"모바일앱개발, 딥러닝, sdk, 인공지능, 정보통신·IT"
"한식당, 브랜드기획, 데이터분석, 메뉴개발, 사업기획"
"A·S수리, 자동차정비, A·S센터, 고객지원, 중정비"
"청소·미화, 청소·미화, 공동주택관리, 주차·출입관리, 보안"
"전산입력, 건설, 토목"
SI개발
"금속, 환경기사, 환경관리"
"회로설계, 자동제어, PCB, 기구설계"
식품가공
"사단법인, 전략기획"
"브랜드기획, CG, 프로덕션, 광고기획, 영상제작"
"일식당, 일식, 일식"
"생산관리, 식품가공"
"이벤트, 국제회의, 컨벤션, BTL, BTL"
"패킹, 식품가공"
"배송, 설치, 물류"
"전표입력, 원가회계, 전산회계"
대학교
"생산관리, 식품가공"
솔루션
"모바일앱개발, BigData, BI, PM, 소프트웨어개발"
"문서관리, 문서작성, 문서관리, IT컨설팅"
"관리회계, 부가세신고, 4대보험, 재무회계, 더존"
"예체능학원, 양식, 자격증·기술, 일식, 직업훈련"
"공조냉동, 기계설비 유지관리, 기계설비, 성능점검, 배관·케이블"
"소방·방재, 기계설비, 소방·방재"
"자료조사, 자료조사, 문서작성, PM, 문서작성"
"안과, 수술실보조"
"창고관리, 고객경험관리, 생산관리, 품질보증, 물류센터"
"컨텐츠개발, e러닝, 교육기획, 교육콘텐츠개발"
"게시판관리, 고객지원, 고객관리, 쇼핑몰"
"창고관리, 사이트관리, 물류센터, 재고관리, 쇼핑몰"
"일식당, 음식료"
"건강식품, 식품가공"
거래처관리
"청소·미화, 청소·미화, 시설관리, 환경관리"
검진센터
"잡지사, 광고기획, 광고물 기획 및 제작관리"
"고객관리, 유통관리, 판매, 매출관리, 매니저"
영어
"한방병의원, 접수·예약, 원무, 외래, 프런트"
"A·S수리, 설치, 유지보수"
"제지, 재단, 기계조작"
"메뉴개발, 단체급식, 단체급식, 식단관리"
"고객관리, 바이어개발, 포털"
"정보보안, 클라이언트, SI개발, 시스템설계"
"로펌, 변호사사무실, 법무법인, 법률사무소, 법률상담"
"안드로이드, 통계, 아이폰, 모바일, 스마트폰"
"촬영보조, 스튜디오"
"A·S센터, A·S수리, 중정비, 경정비"
제품개발
"메카트로닉스, 기계설비"
"창고관리, 화장품, 지게차"
"교환·반품, 민원상담, 접수·예약, 고객지원, 재고관리"
"한방병의원, 병원, 원무"
"순찰, 공공기관, 경비, 공기업, 공단"
"식품영업, 식품가공"
"호텔리어, 호텔, 호텔, 서빙"
"기술영업, 기계설비"
"전기설비, 전기설비"
"부가세신고, 문서관리, 전표입력, LED"
"중식, 중식, 양식, 양식"
간호조무
"빅데이터, ETL, 소프트웨어개발"
"중식, 호텔, 고객안내, 중식, 호텔"
"투자자문, 거래처관리, 창업투자"
"솔루션영업, 솔루션, 기술영업, 소프트웨어개발"
"중식, 중식, 양식, 동남아음식, 타이푸드"
토목
"이화학, 식품품질, HACCP, HPLC, 식품가공"
"전산입력, 문서관리, 웨딩컨설팅, 문서작성, 컨시어지"
"판매, 전표입력, 더존"
"거래처관리, 가맹점관리, 식품, 식품연구, 음식료"
"회로설계, PCB, 펌웨어, 의료기기"
"창고관리, 물류센터, 배송, 납품기사"
"학원강사, 어학원, 영어학원, 파트강사, 영어"
"대본, 웹툰PD, 인터넷만화, 컨텐츠, 만화디자인"
"판매, 백화점, 메이크업, 화장품판매, 화장품매장"
"연구소, 시장조사, 통계·분석, 교육기획, 연구원"
"행정, 문서관리, 전산입력"
운송
"거래처관리, 금형수주영업, 납품영업, 거래선개발관리, 절삭공구"
"고객관리, 거래처관리, 반도체장비, 수출입계약, 정밀광학"
"렌탈, 창고관리, 임대"
"한방병의원, 단체급식"
"측정검사, 품질보증, 검증, 절삭공구, 연마재"
"모바일앱개발, SM, SI, 소프트웨어개발"
"재고관리, 고객안내, 매출관리, CS교육, 문서작성"
"렌탈, 임대, A·S수리, 설치"
"음식료, 카페, 식품판매, 제과제빵점, 판매영업"
스포츠센터
"B2B, GUI, 영상제작, 모바일디자인, 전자상거래"
"생활체육, 스포츠센터, 레포츠, 승마, 생활체육"
생산관리
"모바일앱개발, SM, SI, 소프트웨어개발"
조립
"스포츠센터, 청소·미화, 환경관리"
"모바일앱개발, SM, SI, 앱기획, UI·UX기획"
"건축기사, 건축시공"
"의료기기영업, 의료기기"
"패스트푸드, 음식료, 퓨전푸드"
"전자출판, 출판, 집필, 출판기획"
"어린이집, 교육상담, 영어학원, 보육교사, 유치원"
"교사, 학원강사, 어학원, 영어학원, 영어"
"생활체육, 스포츠센터, 트레이너, 필라테스, 요가"
"고객관리, 거래처관리, 프랜차이즈, 레스토랑, 점포개발"
"카페, 커피숍"
"영상제작, 브랜드디자인, 온라인광고, 광고기획, 디지털디자인"
"생산관리, 식품가공"
"베이커리, 점포개발, 서빙, 메뉴개발, 카페"
"거래처관리, 모바일App, 정산"
"건축설계, CAD, 실내건축, 건축시공, 인테리어"
카페
"편집디자인, 영사기사, 촬영기자, 출력, 촬영보조"
"캐드원, 건축자재, 캐드원, 금속가공, 금속"
"영상제작, 디지털디자인"
"운송, 운송보조"
"병원, 원무"
"영상제작, 브랜드디자인, 온라인광고, 광고기획, 디지털디자인"
"호텔리어, 호텔"
"기술지원, 통신, 유지보수"
"모바일앱개발, 솔루션, SI, DataMining, 소프트웨어개발"
키워드광고
"고객관리, 거래처관리, 배송상담, 콜센터, 전화상담"
"사업개발, 소프트웨어개발, 솔루션, 사업기획, 브랜드기획"
"옥외광고, 시각디자인, 현수막디자인"
"고객관리, 전자회로, 거래처관리, 영업기획, 영업전략"
웹에이전시
"쇼핑몰, 광고PD, 영상제작, 콘텐츠기획"
"전화상담, 고객지원, 온라인상담, 채팅상담"
"공연기획, 공연예술, 촬영보조, 뮤지컬·연극, 공연기획"
"유통관리, MD, 고객지원, 교환·반품, 배송상담"
"호텔리어, 호텔리어, 호텔"
"음식료, 카페, 양식당"
"시공관리, 전기설비, 전기배선, 건축시공, 통신"
"BigData, 솔루션, 서비스기획, 소프트웨어개발"
"사회복지사, 직업상담사, 국민취업지원제도, 취업지원서비스, 청년특정계층"
"메카트로닉스, 전기설계, 기구설계, CAM, 제어·설계"
"예체능, 입시학원, 예체능학원, 미술, 예체능"
"포워딩, 포워딩"
"B2B, 사이트관리, 문서관리, 쇼핑몰, 거래처관리"
"A·S수리, 설치, 유지보수"
"한식당, 소믈리에, 이탈리안다이닝서빙, 와인서빙, 일식당"
"요리사, 주방, 양식당, 자격증·기술"
건설
"자동차정비, 자동차정비"
"와인바, 카페, 양식당, 제과제빵점, 커피숍"
금속
"소프트웨어개발, 솔루션, SI, SM"
의료기기
"경영연구소, 연구소, 연구원, 컨설팅, 경영기획"
"문서관리, 비품관리, 자산관리, 복리후생, 행정"
금융
"연구·실험·기술, R&D, 제품개발"
"체험단 관리, 홍보대행, 체험단 홈페이지 관리, 체험단 응대, 온라인광고"
"소셜커머스, 쇼핑몰, 오픈마켓, 전자상거래, B2C"
"유통관리, 유통, 식품영업"
"한식당, 소믈리에, 호텔, 카운터, 음식료"
"자동차정비, 자동차정비"
"유지보수, 하드웨어, 문서관리, 문서작성, 서무"
"렌탈, 전화상담, 고객지원, 텔레마케팅"
"식품, 카페, 제과제빵점, 커피숍"
"측량, 측량, GIS, 공간정보"
"식단관리, 병원, 영양관리, 단체급식, 한식"
"행정, 행정, 영어학원, 문서관리"
"배송기사, 납품기사, 상사"
"호텔, 호텔, 서빙"
"플랜트, 플랜트"
"프라스틱제조, 배송기사, 납품기사"
"setup, 유지보수, 반도체장비, 디스플레이"
"네트웍구축, 서버구축, 네트워크관리, 통신, 배관·케이블"
"서비스기획, 스토리보드, 데이터분석, 앱기획, UI·UX기획"
"BigData, 솔루션, SI, 소프트웨어개발"
"상품기획, AMD, 전자상거래, 상품기획, 쇼핑몰"
"모바일앱개발, 소프트웨어개발"
"환경측정, 산업안전, 대기환경, 안전평가"
"물류관리, 계산서발행, 배송, 전표입력, 더존"
"Sign디자인, Sign디자인, SIGN, 현수막디자인"
AMD
"시공관리, 안전평가, 건설, 건설노무"
"금융상담, 홍보대행, 이벤트, 프로모션대행, 이벤트대행"
"단순안내, 전화상담, 텔레마케팅"
"복리후생, 한방병의원, 급여, 인사교육, 근태"
"창고관리, 항공운송, 물류센터, 보세운송, 운송"
"손해보험, 거래처관리, 고객관리, 보험영업, 언더라이팅"
"B2B, 게시판관리, 상품기획, 교환·반품, 고객지원"
소프트웨어개발
"통신, 전기, 건축감리"
"소프트웨어개발, CRM, 클라이언트, GUI, 클라이언트"
납품영업
"유지보수, 식품가공, 기계조작"
"고객관리, 스포츠센터, 골프장, 골프장클럽하우스, 고객안내"
"자동차, 자동차부품, 자동차정비"
"렌탈, 렌터카, 렌탈영업, 대여, 자동차영업"
식품가공
"접수·예약, 피부과, 고객지원, 일반과"
"실사출력, 출판기획, 편집디자인, 출판기획"
"양식, 음식료"
"원무, 코디네이터, 간호, 간호조무"
아웃소싱
화물차운전
"뷔페, 재고관리, 중식, 매출관리, 프랜차이즈"
"스포츠센터, 수영장, 교육상담, 수영, 학생관리"
"수출입관리, 해외영업관리, 무역업"
"품질보증, 전자"
"전시디자인, 무대디자인, 인테리어디자인, 전시기획, 전시디자인"
"관리회계, 부가세신고, 부가세신고, 계산서발행, 전자상거래"
"교육상담, 입시학원, 어학원, 학생관리"
"정형외과, 복리후생, 행정, 신경외과, 자료조사"
"엔터테인먼트사, 연예기획, 로드매니저, 매니지먼트"
"거래처관리, 거래선개발관리, 컨벤션, 거래처관리, 전시디자인"
"연구·실험·기술, 신소재, 화학·섬유, 기계, R&D"
"기술영업, 장비영업, 자동화설비, 반도체영업"
"영상제작, 인터넷방송"
"현수막디자인, 시각디자인, 전단지디자인, POP"
"호텔, 호텔리어, 호텔사무, 고객응대, 예약·발권"
"실내건축, 인테리어, CAD, 가구디자인"
자동차부품
"용접기, 제관"
"고객관리, 화장품, 거래처관리, 식품MD, 가맹점관리"
"시공관리, 건설, 현장감리, 건설안전, 산업안전"
"패션, 자금관리, 재무분석, 재무기획, 입출금관리"
"급여관리, 부가세신고, CAD, 계산서발행, 실내건축"
"화장품, 디지털마케팅, 브랜드기획, 키워드광고, 광고기획"
"고객관리, 거래처관리, 압출성형기, 기계조립, 대리점관리"
"조립, 회로설계, 소방, 생산관리"
일본어
"쇼핑몰, 위생, 보건, 의약, 화장품"
"양식당, 와인바, 음식료, 양식"
"전산입력, 화장품, 자산관리, 문서수발, 문서작성"
캐드원
"유통, 판매, 고객관리, 해피콜, 회원관리"
"생산관리, 기계, 사출성형기, 사출"
"이벤트, 베이커리, 일식, 상조서비스, 웨딩컨설팅"
"고객경험관리, 콜센터, 콜통계분석, 전화상담, 해피콜"
"빅데이터, 데이터레이크, 시스템운영, SI, 서버구축"
"시공관리, 건설, 건설안전, 산업안전"
"화장품, 재고관리, 중국어"
카페
"놀이공원, 잡화판매"
"반도체장비, 반도체생산, 회로"
"헤드헌팅, 베이커리, 파티쉐, 베이커리, 판매관리"
"SM, 시스템분석, 시스템운영, SI, 정보보안"
"조립, 기계조작, 사출"
"건축설계, 건설"
"거래처관리, 소비재"
시설점검
"연구·실험·기술, 신소재, 연마재, 제품개발"
"자동차보험, 보험상담, 법인고객영업, 보험영업, 생명보험"
"의료기기, 의료기기영업, 장비영업, 영업기획, 데이터분석"
"창고관리, 물류센터, 배송, 재고관리, 납품기사"
"제약영업, 자산관리사, 부동산투자, 렌탈영업, 식품영업"
"단체급식, 단체급식"
화학
"소방, 전기설비, 전기"
"마트, 유통관리, 재고관리, 백화점, 납품"
"소프트웨어개발, 인사기획"
"어학원, 영어"
"생활용품, 납품, 납품"
"재고관리, 재고관리, 판매관리"
"재고관리, 매출관리, 판매관리"
"해상무역, 해상운송"
"교수설계, 교사, 학원강사, 직업훈련"
"소믈리에, 메뉴개발, 와인바, 양식당, 커피숍"
"자동제어, 임베디드, PLC, 소프트웨어개발"
"콜통계분석, 접수·예약, 해피콜, 단순안내, 텔레마케팅"
"입하, 창고관리, 입출고관리, 하역, 물류센터"
"해외마케팅, 광고디자인, 콘텐츠기획, 광고기획, 전략기획"
"시스템운영, 클라우드개발자, 서버관리, WAS"
"입출고관리, 물류센터, 납품"
"물류센터, 물류관리, 물류센터"
"검색광고, SNS마케팅, 제휴마케팅"
"성형외과, 간호조무사, 간호사, 수술실간호사"
"부엌가구, 사무용가구, 가구, 국내영업"
건설
서빙
"어학원, 영어"
"거래처관리, 솔루션, 신사업기획, 사업기획, 전략기획"
"상품기획, 소셜커머스, 쇼핑몰, 오픈마켓, 전자상거래"
"조립, 자동차부품"
"빌딩, 공인중개사, 오피스텔, 경매입찰, 부동산중개"
"B2C, 영어, 전자상거래, 쇼핑몰, 오픈마켓"
"의료기기영업, 기술영업, 의료기기"
"화학·섬유, 제품개발"
"판매, 수출입관리, 품질보증, 테스터, 웹마스터"
"콜센터, 텔레마케팅"
"저작권, 학습지, 방문교사"
"회로설계, 임베디드, 회로설계, Hardware, PCB"
"소프트웨어개발, SI개발"
"제약영업, 제약영업, 제약, 의약, 국내영업"
"고객관리, 네일, 화장품영업, 국내영업"
"SI개발, Java"
"소셜커머스, 쇼핑몰, 오픈마켓, B2B, B2C"
"생명공학, 바이오"
"촬영보조, 스튜디오, 영상제작"
"전기설계, 태양광발전소 현장 및 사업관리, 태양광 설계"
"고객관리, 물류센터, 물류관리, 배송, 운송"
광고영업
소프트웨어개발
"전문병원, SNS마케팅"
"아웃소싱, 콜센터, 모델하우스, 부동산관리, 부동산금융"
"고객관리, 거래처관리, 장비영업, 거래선개발관리, 국내영업"
"아웃소싱, 콜센터, 모델하우스, 부동산관리, 부동산금융"
쇼호스트
"거래처관리, 배송, 운송, 매출관리, 국내영업"
"3D설계, 건설기계"
"자동차, 자동차영업, 판매영업"
"건축품질, 건설, 건설안전, 건설품질관리, 견적"
"재무회계, 시공관리, 건설, 문서작성, 더존"
"인터널브랜딩, 콘텐츠브랜딩, 브랜드디자인"
"호텔, 호텔리어, 중식, 레스토랑, 양식"
"자동차, 자동차영업, 판매영업"
"거래처관리, 의료기기영업, 유통영업, 거래선개발관리, 위생"
"프로덕션, 콘텐츠기획"
"FPCB, 사양, FPCB 설계, 전자, FPCB"
"ERP운용, 입출고관리, 계산서발행, 전표입력"
"순찰, 보안, 보안, 경호"
"고객관리, 제약영업, 거래처관리, 솔루션영업, 의료기기영업"
"자동차, 자동차영업"
"베이커리, 파티쉐, 메뉴개발, 제과제빵점, 제빵사"
"PL, PM, PO"
건설안전
"자동차부품, 금속"
"생산관리, 화학, 프라스틱제조, 환경"
"조선, 철강, 항공, 자동차"
"ERP운용, 급여관리, 계산서발행, 부가세신고, 4대보험"
"수행기사, 화학, 프라스틱제조, 환경"
"상품기획, 잡화디자인, 잡화디자인, 전자상거래, 쇼핑몰"
판매
"금융상담, 대출상담, 캐피탈, 전화상담, 종합금융"
"디지털마케팅, 상품기획, 브랜딩, 리테일MD, 전자상거래"
"육상운송, 청소·미화, 운송, 물류"
"물류, 운송, 육상운송, 4대보험, 결산"
"CAD, 설계, 히터, 3D설계, 기구설계"
"상품입출고, 창고관리, 생산관리, 재고관리, 기계"
"어학원, 영어학원, 영어"
"기술영업, 국내영업"
"Hardware, Firmware"
모바일앱게임
"홍보대행, 수술실보조, 광고디자인, 진료보조"
"전기설비, 시공관리, 전기설비, 시공관리"
"이동통신, 전자통신, 네트웍구축, 전기설비, 정보통신"
"고객관리, 거래처관리, 콜센터, 고객안내, 전화상담"
"전화상담, 단순안내, 쇼핑몰, 온라인상담, 텔레마케팅"
"인터넷생활정보, 취업포털, 기술영업, 솔루션영업, 고객지원"
"디지털마케팅, 홍보대행, 광고기획, 오프라인마케팅, 제휴마케팅"
"교정, 편집, 출판기획, 교정, 교열"
"전산입력, AMD, 전자상거래, 쇼핑몰, 오픈마켓"
"항공, 자동차, 생산기술, 금속"
"식품판매, 진열관리, 캐셔, 제과제빵점"
"패키지디자인, 홍보대행, 전단지디자인, 브랜드디자인, 온라인광고"
직업전문학교
"고객관리, 판매, 가전판매, 전자제품대리점, 판매관리"
"자격증·기술, 스포츠"
"병원, 진료보조"
"SNS마케팅, 축산"
"수질환경, 화학, 환경"
"부가세신고, 더존, 부가세신고, 자금관리, 세무조정"
"일식당, 메뉴개발, 도시락·반찬"
"어린이체육, 유아체육, 체육교사, 체육선생님, 예체능학원"
"디지털마케팅, 게시판관리, 상품기획, 교환·반품, 키워드광고"
"모발·두피관리, 피부관리, 헤어디자인"
"상품기획, 전자상거래, 상품기획, 쇼핑몰, 오픈마켓"
"고객관리, 거래처관리, 행정, 가맹점관리, 거래선개발관리"
"장비영업, 자동차부품, 자동차, 자동차영업"
"통신, 통신설비"
"일식당, 캐셔, 서빙"
"상품입출고, 창고관리, 상품기획, 재고관리, 물류센터"
"상품기획, 촬영기자, 전자상거래, 영상제작, 쇼핑몰"
"인테리어디자인, 국내영업, 건설업"
"CFO, 신사업기획, 화학, 사업기획, 재무기획"
"창고관리, 입출고관리, 물류관리, 물류센터, 물류사무"
"치과병의원, 접수·예약"
"펌웨어, 시스템운영, 서버구축, 서버관리, 소프트웨어개발"
"농기계영업, 기계, 장비영업, 영업"
"건축설계, CAD, 실내건축, 인테리어"
"3D설계, 기계"
의료기기
"음향, 통신"
"납품영업, 렌탈영업, 공조냉동"
"유통관리, 거래처관리"
"패션, 검증, 구매계약, 자재구매, 외자구매"
"건강식품, SNS마케팅, 식품가공"
"이벤트, 웨딩, 연회장, 예식장, 연회장"
"조립, A·S수리, 기술지원, 생산관리, 기계"
"기구설계, 3D설계, 기계조립, 자동화설비"
"이벤트대행, 국제회의, 컨벤션, 전시디자인"
"물류센터, 택배, 배송, 운송, 배송기사"
한식
"중식, 한식당, 뷔페, 중식, 양식"
"소방, 소방·방재, 전기"
"관광통역, 동시통역, 인재관리, 영어, 인재발굴"
"패션, 원단, 재단, 재단·수선·미싱, 섬유"
"생명공학, 연구·실험·기술, 유전공학, 의료기기연구, 바이오"
"캐드원, 시공관리, 건설, 견적, 조경"
"B2C, 전자상거래"
"패스트푸드, 음식료"
"패스트푸드, 음식료"
백화점
"기계, 장비영업, 국내영업"
"영상제작, 온라인광고, 광고디자인, 광고기획, SNS마케팅"
"기업홍보, 디지털마케팅, IMC, 브랜드기획, 시장조사"
"순찰, 보안, 경비, 보안, 경비"
"상하수처리, 전기제어, 자동제어, Hardware, HMI"
학원강사
프랜차이즈
"거래처관리, 매출관리"
"유지보수, 자동차부품, 용접, 기계정비"
"자동차정비, A·S센터, 카센터"
"자동차부품, 국내영업"
"학습지, 학습지교사, 교사, 과외교사, 회원모집상담"
"영업MD, 상품기획, 소셜커머스, 쇼핑몰, 오픈마켓"
"복리후생, 복리후생, 비품관리, 조직문화, 쇼핑몰"
"자동차튜닝, 자동차정비, A·S센터, 카센터, 자동차정비"
"전화상담, 고객지원, 전자상거래, 채팅상담"
"솔루션, 시스템분석, CRM, SI개발, ERP"
"정보디자인, B2C, 모바일디자인, 쇼핑몰, 오픈마켓"
"전산입력, 패션, 비품관리, 코디네이터, 문서관리"
"금속, 금속, 금형"
자동차부품
"이벤트, 행사기획, 이벤트대행, 전시기획, 국제회의"
"공조냉동, 소방, 전기"
"웹표준·웹접근성, 언론사, 신문사"
"창고관리, 백화점, 납품, 재고관리"
"임베디드, 전기제어, 전자, 펌웨어, 제어"
"메뉴개발, 연구·실험·기술, 건축설계, 제조·공정, R&D"
"MCT, 밀링, CAD, 선반, CNC"
"캐드원, 기계"
"상사, 한식"
"호텔사무, 호텔, 프런트"
"CAD, 납품영업, 실내건축, 유통영업, 기술영업"
"문서작성, 전산입력"
"접수·예약, 피부과"
"엔터테인먼트사, 스튜디오, 작사·작곡, 연예기획, 연예"
"재고관리, 판매관리, 진열관리, 고객응대"
"관리회계, 부가세신고, 상품입출고, 전산입력, 재무회계"
"GUI, SM, SI, SI개발, 인터페이스"
"모바일앱개발, SI, ERP"
"조합, 문서작업, 인력관리, 물품이동"
"전기배선, 엘리베이터, 전기설비, 전기배선, 배관·케이블"
예식장
"사이트관리, 고객지원, UI·UX기획, 서비스기획"
"양식, 와인바, 패밀리레스토랑, 양식당"
"물류센터, 배송, 상품기획"
"항공운송, 항공무역, 해상무역, 수출입관리, 포워딩"
"관광, 호텔, 리조트, 서비스기획"
"BigData, 솔루션, 소프트웨어개발"
"실사출력, 광고디자인 데이터 편집, 대형옥내외광고물제작, 광고 디지털프린팅, 광고제작 가공"
"관리회계, 부가세신고, 4대보험, 재무회계, 더존"
"복리후생, 행정, 비품관리, 솔루션, 자산관리"
"안드로이드, 아이폰, 모바일, 스마트폰, 모바일App"
"시공관리, 건설, 건축시공, 공무"
"연구·실험·기술, 대학교"
"건설, 공무"
"고객관리, 전산입력, 거래처관리, 안드로이드, 아이폰"
"AMD, 리테일MD, 이너웨어"
"조립, A·S수리, 반도체"
"양식, 양식, 음식료, 카페, 양식"
"납품영업, 기술영업, 식품영업, 식품가공, 국내영업"
"관광, SNS마케팅, 콘텐츠기획, 여행상품안내·상담"
"화장품, 더존, 자료조사, 영업기획, 문서작성"
"콘텐츠기획, 이벤트기획"
거래처관리
MCT
"중식당, 뷔페, 중식, 일식당, 양식"
"메뉴개발, 디지털마케팅, 전단지디자인, 키워드광고, 프랜차이즈"
"메뉴개발, 배너광고, 기능학원, 예체능학원, 키워드광고"
"B2B, B2C, 전자상거래, 쇼핑몰, EC"
"조립, MEMS, 반도체, 반도체, 기계조작"
"창고관리, 물류센터, 배송, 운송, 재고관리"
"메뉴개발, 디지털마케팅, 키워드광고, 예체능, 제휴마케팅"
"생활체육, 청소·미화, 요가, 주차·출입관리, 경비"
"입시학원, 학원강사, 입시학원, 어학원, 학원"
"교사, 학원강사, 영어"
"영어, 영어, 일반학원, 영어"
인터넷방송
"시민단체, 경영기획"
"호텔리어, 프론트, 호텔, 프런트"
"제약영업, 솔루션영업, 의료기기영업, 제약영업, 시스템영업"
"고객안내, 바텐더, 홍보대행, 이벤트대행, 메뉴개발"
"상품권판매, B2C, 전자상거래, 전표입력, 소셜커머스"
"상품기획, 전자상거래, 상품기획, 쇼핑몰, 오픈마켓"
"ERP운용, 의료기기, 문서관리, 전산입력"
"카페, 제과제빵점"
"전문병원, 수술실보조, 진료보조, 보험심사·청구"
"수출입계약, 해외마케팅, 수출입관리, 수출입계약, 바이어개발"
"입시학원, 영어, 학습지, 어린이집, 놀이방"
"상품입출고, 창고관리, 재고관리, 재고관리, 그라비아인쇄"
"보안컨설팅, 정보보안"
"메뉴개발, 양식, 양식, 메뉴개발, 와인바"
축산
"옥외광고, GUI, 직업전문학교, 프로모션, 모바일디자인"
"2D디자인, 애니메이션, 원화디자인"
"신소재, 기계조작, CAM, 공작기계, CAD"
"식품가공, 문서관리, 비품관리, 자산관리, 복리후생"
"재무회계, 반도체, 사업기획, 경영기획"
"PM, 앱기획, UI·UX기획, 스토리보드, 웹에이전시"
"손해사정, 화재보험, 농작물"
"기구설계, 조립, 품질보증, 기계조립, 자동화설비"
"케이터링, 프랜차이즈, 음식료, 도시락·반찬"
키워드광고
"UI·UX기획, 웹디자인, UX디자인, UI·UX디자인, UI디자인"
"정비기사, 자동차"
"LCD, LCD, 디스플레이, 디스플레이, LED·OLED"
"기술영업, 장비영업, 국내영업"
"물류센터, 입하, 입출고관리, 물류관리, 고객지원"
"웹표준·웹접근성, 웹에이전시"
"기계조립, 자동화설비, 자동화설비, 기계조립"
"거래처관리, 영업기획, 영업전략, 매출관리, 식품가공"
"관리회계, 결산"
동물병원
게임소프트웨어
"모바일앱개발, SI개발, 솔루션, SI, 서버관리"
"원무, 코디네이터, 접수·예약"
"항공운송, 포워딩, 해상운송, 물류"
"미술교사, 유치원교사, 유치원"
"Adobe, MAC, VMD 디자인, CG, 2D디자인"
"자동차부품, 자동차정비, 자동차, 자동차정비"
"SM, 솔루션, 솔루션스아키텍트, SI, 모델링"
"바이오, 의료기기, 화장품"
"상품기획, 식품MD, 전자상거래, 매출관리, 상품기획"
"상조서비스, 웨딩컨설팅, 장례서비스, 상조영업"
모바일App
"설비, 공조냉동"
"고객관리, e러닝, 해피콜, 회원모집상담, 텔레마케팅"
화공
"마트, 공조냉동, 판매, A·S수리, 유통"
"부가세신고, 더존, 계산서발행, 결산, 공인회계사"
"자동차부품, 자동차정비, 자동차, 자동차정비"
"생산관리, 가구"
"마트, 판매, 물류센터, 유통, 물류"
"금융상담, 키워드광고, 전화상담, 해피콜, 기업홍보"
"자동차정비, 경정비, 자동차정비"
"어린이집, 어학원, 보육교사, 유치원, 영어"
