회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
볼보그룹코리아,품질기술 엔지니어 채용 (신입),신입,대졸↑,경남 창원시,"품질보증, 검증, 건설기계, 금속",~12/14(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43502913?Oem_Code=C1&logpath=1&stext=&listno=430
㈜뉴본홀딩스,[정착지원금지급] 스케줄관리 정규직 모집,경력무관,학력무관,서울 강남구,"고객관리, 거래처관리, 거래선개발관리",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43502904?Oem_Code=C1&logpath=1&stext=&listno=431
㈜승일,SUN그룹 국내영업(연료관) 강원(원주)지역 채용,신입·경력,고졸↑,서울 서초구 외,"납품영업, 장비영업, 금속가공, 국내영업",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43502897?Oem_Code=C1&logpath=1&stext=&listno=432
㈜승일,SUN그룹 국내영업(연료관) 충청(천안)지역 채용,신입·경력,고졸↑,서울 서초구 외,"납품영업, 장비영업, 금속가공, 국내영업",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43502832?Oem_Code=C1&logpath=1&stext=&listno=433
㈜마크애니,소프트웨어 QC/QA 경력사원 채용,경력2년↑,학력무관,서울 중구,"네트워크보안, 테스터, 보안소프트웨어, QC, 검증",~01/06(토),https://www.jobkorea.co.kr//Recruit/GI_Read/43502797?Oem_Code=C1&logpath=1&stext=&listno=434
케이비라이프생명보험㈜,상품개발1부 경력 정규직 채용,경력,대졸↑,서울 강남구,"보험요율 산출, 위험률 개발, 금융상품기획",~12/18(월),https://www.jobkorea.co.kr//Recruit/GI_Read/43502791?Oem_Code=C1&logpath=1&stext=&listno=435
울브린코리아㈜,[자동차부품] 경영지원본부(회계 / 인사) 담당자 모집,신입·경력1년↑,대졸↑,경기 화성시,"관리회계, 부가세신고, 복리후생, 부가세신고, 세무기장",~12/26(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43502766?Oem_Code=C1&logpath=1&stext=&listno=436
㈜신원,(주)신원 BESTI BELLI사업부 영업팀 경력 채용,경력2년↑,대졸↑,서울 마포구,"남성의류, 패션, 매출관리, 여성의류, 의류",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43502758?Oem_Code=C1&logpath=1&stext=&listno=437
케이티텔레캅㈜,2023년 납품/품질관리 분야 채용,경력,대졸↑,경기 고양시 외,"검증, 납품",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43502731?Oem_Code=C1&logpath=1&stext=&listno=438
씨제이올리브영(주),AI추천엔진팀 데이터사이언티스트,경력,대졸↑,서울 용산구,"데이터 파이프라인 개발, 데이터분석, 데이터마이닝",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43502696?Oem_Code=C1&logpath=1&stext=&listno=439
㈜아성다이소,2023년 아성다이소 물류본부 경력사원 채용,신입·경력1년↑,학력무관,부산 강서구 외,"유통관리, 판매, 유통, 산업안전, 소방·방재",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43502692?Oem_Code=C1&logpath=1&stext=&listno=440
우리이앤엘㈜,[우리이앤엘] 하루틴사업부 홈쇼핑 영업 경력직 채용,경력1년↑,학력무관,서울 강남구,"영업기획, 홈쇼핑, 영업전략, 매출관리, 데이터분석",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43498472?Oem_Code=C1&logpath=1&stext=&listno=841
우리이앤엘㈜,[우리이앤엘] 자동차 전장 LED 영업 신입/경력 채용,신입·경력1년↑,학력무관,경기 안산시,"영업기획, 영업전략, 장비영업, 장비영업, 거래처관리",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43498459?Oem_Code=C1&logpath=1&stext=&listno=842
㈜디지털트리니티,게임 광고 마케터 경력직 모집,경력5년↑,대졸↑,서울 용산구 외,"홍보대행, 키워드광고, 프로모션대행, 브랜딩, 광고기획",~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43498435?Oem_Code=C1&logpath=1&stext=&listno=843
케어캠프㈜,[케어캠프(주)] 시약물류운영 및 시약배송 담당직원 모집,신입·경력1년↑,고졸↑,경기 김포시 외,"상품입출고, 창고관리, 시약, 물류센터, 배송",~12/26(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43498417?Oem_Code=C1&logpath=1&stext=&listno=844
㈜에이치시티,23년 11월 시험인증 영업분야 신입/경력사원 채용,신입·경력,학력무관,경기 이천시,"거래처관리, 고객관리",~12/31(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43498422?Oem_Code=C1&logpath=1&stext=&listno=845
파카코리아 ㈜,Parker Graduate Program- Sales Engineer (채용연계형 인턴쉽 프로그램),신입,대졸↑,경기 성남시,"종합병원, 수질환경",~12/22(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43498403?Oem_Code=C1&logpath=1&stext=&listno=846
의료법인 우리의료재단,김포우리병원 시설팀 수질환경(산업)기사 채용공고,경력3년↑,학력무관,경기 김포시,"유통, 유통관리, 국내영업, 온라인영업, 매출관리",~12/13(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43498397?Oem_Code=C1&logpath=1&stext=&listno=847
라이온코리아㈜,"2024년 상반기 공개채용(국내영업, 마케팅ABM, 온라인영업)",경력3년↑,대졸↑,서울 서대문구,"영상제작, 온라인광고, 영상제작, 광고기획, 콘텐츠기획",~12/21(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43497734?Oem_Code=C1&logpath=1&stext=&listno=848
㈜차이커뮤니케이션,유튜브 콘텐츠 제작 PD 신입 및 경력 채용 공고,신입·경력,대졸↑,서울 강남구,"실적관리, 인력관리, 고객응대",~12/29(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43498262?Oem_Code=C1&logpath=1&stext=&listno=849
롯데쇼핑,[전주점] 2023년 서비스 전문직무직 채용(대체 계약직),신입·경력,고졸↑,전북 전주시,"자금관리, 4대보험, 더존",~12/12(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43498253?Oem_Code=C1&logpath=1&stext=&listno=850
㈜셀젠텍,"(주)셀젠텍 총무(자금, 영업지원, 일반사무)대리-과장급 채용",경력3년↑,초대졸↑,충북 청주시,빅데이터,~01/05(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43498228?Oem_Code=C1&logpath=1&stext=&listno=851
