기업명,평균 학점,평균 토익점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수
에스지퍼슨스,3.5,760.0,1.0,1.9,1.0,1.7,1.7,1.7
테라세미콘,3.6,493.0,1.4,2.0,1.4,1.0,1.0,1.5
삼성화재애니카손해사정,3.65,711.0,1.0,2.6,1.3,1.4,1.3,1.7
넵스,3.62,823.0,1.0,2.8,1.5,2.0,1.0,2.0
디엠테크놀로지,3.35,730.0,1.5,2.0,1.5,1.5841330663918443,1.6858116082900503,1.7060261955538325
일진다이아몬드,3.51,762.0,1.1,2.4,1.5,1.6,1.5,1.5
보성금속공업,3.51,758.0,1.1485629949526421,2.1,1.7,1.5153896440583143,1.7473990896192724,2.0
장인가구,3.56,774.0,1.0,2.2,1.0,3.0,2.5,1.3
에이테크오토모티브,3.52,523.0,1.0,1.8,1.1,1.3,2.0,1.9
두리비젼,3.71,787.3814573285663,1.0,2.2,1.2834234656173371,1.4294603661414014,1.0,1.0
아이지 (IG),3.47,548.0,1.0,2.6,1.0,1.5325754996416967,1.7320022192869668,1.7441210656230652
한솔요리학원,3.8,630.0,1.0,3.0,1.3,4.0,1.8,1.0
테라닉스,3.49,810.0,1.0,2.1,1.0,1.5239825718500053,2.0,1.5
이트론,3.59,755.0,1.0,2.2,1.3,1.4810179328915491,2.3,1.0
씨앤씨,3.3,460.0,1.112556215193813,2.4,1.0,1.6056153858710727,1.6665655203746683,1.0
한불화장품,3.63,813.0,1.0,1.6,1.2,1.0,1.0,2.5
앨트웰,3.57,730.0,1.0,2.1,1.0,1.5,1.0,2.0
토마토시스템,3.73,833.0,1.1862843832714156,2.7,2.0,1.0,1.5,1.8266599507730694
부성,3.14,722.3885553844143,1.0851224782347053,1.3,1.0,1.6743588082046028,1.0,1.5
네오텍,3.55,805.0,1.1554214291924192,2.6,1.0,1.4982037884749317,1.762795959951578,1.7695176456692203
유니텍전자,3.61,775.9791938295922,1.1657090805520847,2.0,2.0,1.4724250050998577,1.785891265450036,1.7885650807038367
놀부,3.57,672.0,1.0,2.0,1.3,1.3,1.5,2.0
에이스브이,3.63,773.0,1.0,2.3,1.5,1.5,2.5,3.3
광스틸,3.51,640.0,1.0,1.8,1.0,1.0,3.0,1.0
알피니언메디칼시스템,3.68,822.0,1.0,2.0,1.4,1.7,1.5,1.6
XT Lifestyles,3.54,695.0,1.0,2.0,1.2,1.5025002523707771,1.7589467423685015,1.7663430731634508
동운인터내셔널,3.61,815.0,1.3,2.0,1.1,1.5,1.0,1.5
타이거일렉,3.78,795.3630417778479,1.1948574260711369,1.4,1.0,1.399385118870482,1.8513279643623346,1.8425328133019163
지에스북,3.83,640.0,1.0,2.4,1.0,1.3779027993912536,1.8705740522777166,1.0
KB손해사정,3.8,858.0,1.1982866431910253,2.3,1.3,1.0,1.0,2.5
포스뱅크,3.31,654.0,1.1142708237537573,1.9,2.0,2.0,1.0,1.0
케이앤웍스,3.62,640.0,1.167423689112029,2.9,1.2809408841974017,2.0,2.0,1.0
엑스컴인터내셔널,3.8,820.0,1.0,1.7,1.2,2.0,3.7,1.5
현대오토넷,3.64,783.0,1.1708529062319175,1.8,1.0,1.4595356134123207,1.7974389181992654,1.7980887982211449
다산기공,3.63,615.0,1.169138297671973,3.0,1.2812167265773946,1.0,1.793589700616189,1.0
엔티에스,3.59,843.0,1.0,2.8,1.6,1.0,1.0,2.0
바로크레디트대부,3.51,615.0,1.0,2.0,1.3,1.5,1.0,1.5
덕지산업,3.41,790.0,1.5,2.2,1.0,1.5583542830167705,1.7089069137885087,1.0
야긴스텍,3.6,714.0,1.1,2.0,1.2,1.3,2.0,1.9
지식과미래 - iMBC캠퍼스,3.59,827.0,1.0,2.1,1.3,1.0,1.0,2.7
삼성생명서비스손해사정,3.6,789.0,1.0,2.0,1.4,2.3,2.3,1.9
길진인터내셔날,3.66,771.0,1.0,2.8,1.5,4.0,1.8051373533654183,4.0
테크빌교육,3.7,803.0,1.0,2.7,1.1,1.3,2.3,2.0
에이블현대호텔앤리조트,3.8,820.0,1.0,2.9,1.3,2.0,1.7,2.5
우림맨테크,3.71,650.0,1.0,2.3,1.2,1.0,2.5,1.0
입시화학,3.52,620.0,1.5,1.5,1.0,1.5110931801624685,1.7512483072023488,1.7599939281519121
동화세상에듀코,3.58,797.0,1.2,2.1,1.3,1.6,1.9,2.0
빈스앤로스터리코리아(빈스빈스커피),3.76,718.0,1.0,2.5,1.3,1.8,4.0,1.7
삼진정밀,3.6,474.0,1.0,1.9,1.5,1.0,1.5,5.0
세피앙,3.39,748.0,1.0,2.2,1.3,2.8,1.0,3.2
와이드모바일,3.45,715.0,1.7,2.0,1.0,2.0,1.0,1.8
오영,3.54,771.0,1.153706820632475,1.6,1.0,2.0,1.0,1.7
갤럭시아포토닉스,3.53,623.0,1.1519922120725308,1.8,1.3,1.506796716266623,1.0,1.0
비드인포메이션,3.66,730.0,1.0,1.8,1.0,1.0,2.0,2.0
케이에스넷,3.27,840.0,1.0,1.6,1.0,1.6185047775586094,1.0,1.6806296155076774
KDR한국기업서비스,3.49,540.0,1.1451337778327537,1.8,1.0,2.0,5.0,1.0
마이크로켐텍,3.58,670.0,1.160565254872252,2.1,1.0,1.4853143967873947,1.0,1.7790413631865285
콜렉트대부,3.41,753.1746668316441,1.0,2.2,1.0,1.5583542830167705,1.0,1.0
에스이랜드,3.51,700.0,1.0,2.2,1.0,1.0,1.0,2.0
인페쏘,3.51,764.5769303306181,1.1485629949526421,2.8,1.0,1.5153896440583143,1.5,1.7568193556461427
회명산업,3.68,738.0,1.2,2.1,1.0,1.0,2.3,2.3
메츠에이치아이티,3.59,773.6987411297973,1.1622798634321962,2.3,1.0,1.5,2.7,4.0
베스트웨딩넷,3.69,770.0,1.1794259490316388,2.4,2.7,1.4380532939330928,1.8166850061146473,1.8139616607499918
메가박스중앙,3.57,792.0,1.1,1.6,1.3,1.0,2.0,1.6
아이엠투자증권,3.57,908.0,1.0,2.9,1.2,1.0,3.0,1.7
확인영어사,3.84,640.0,1.2051450774308023,2.1,1.0,1.3736063354954082,1.874423269860793,1.8615802483365325
뷰피플,3.8,620.0,1.1982866431910253,2.9,1.0,2.0,1.8590263995284875,1.848881958313455
피티엠에스,3.6,665.0,1.0,1.5,1.5,3.0,2.0,1.0
서빅,3.55,595.0,1.1554214291924192,2.0,1.7,1.4982037884749317,2.6,1.3
용진스테코,3.67,790.0,1.1759967319117504,2.2,1.0,1.446646221724784,1.8089865709484945,1.807612515738453
에쓰와이이앤씨,3.66,555.0,1.174282123351806,2.3,1.0,1.4509426856206296,1.8051373533654183,1.0
오라컴,3.62,768.0,1.167423689112029,1.9,1.0,2.5,2.8,1.0
한국인터넷진흥원,3.66,779.0,1.3,2.2,1.3,1.5,2.1,1.5
써머스플랫폼,3.55,755.0,1.2,2.2,1.0,1.6,1.4,2.0
아프리카TV,3.53,699.0,1.4,2.2,1.5,1.5,1.9,2.9
시티랩스,3.57,771.4182884300026,1.1588506463123078,2.0,1.0,2.0,3.7,1.8
유니베라,3.52,700.0,1.1502776035125866,2.3,1.5,1.5110931801624685,1.0,2.0
에이치엔아이엔씨,3.58,745.0,1.5,2.7,1.0,1.4853143967873947,1.8,1.2
M캐피탈,3.5,825.0,1.0,2.2,1.4,2.0,1.0,1.0
두타몰,3.65,770.0,1.0,1.6,2.0,1.0,1.3,1.5
원도어패럴,3.51,857.0,1.3,2.3,1.4,2.0,2.0,1.3
한국산업인력공단,3.74,836.0,1.4,2.5,1.4,1.1,1.8,2.1
NH농협캐피탈,3.53,853.0,1.0,3.5,1.0,1.0,2.0,1.0
한국교직원공제회,3.76,884.0,1.5,2.4,1.0,1.3,1.5,1.4
면사랑,3.47,808.0,1.0,2.8,1.3,1.4,1.8,1.7
해브앤비 유한회사,3.59,853.0,1.0,2.0,1.4,1.4810179328915491,2.0,3.0
웰시스,3.67,782.8205519289766,1.1759967319117504,1.4,1.2823200960973657,3.0,2.0,1.807612515738453
(사)대한한의사협회,3.52,754.0,4.0,1.9,1.2,5.0,1.7512483072023488,5.0
한국미우라공업,3.6,640.0,1.0,2.2,1.3,1.4767214689957033,1.7820420478669599,1.7853905081980672
익스피다이터스코리아,3.54,865.0,1.3,2.2,1.3,1.7,1.4,1.5
바이엘크롭사이언스,3.44,817.0,1.1365607350330325,1.8,1.5,3.0,1.7204545665377378,3.7
(사)한국화재보험협회,3.75,863.0,1.0,3.1,1.5,1.4122745105580188,1.0,1.0
동희오토,3.51,700.0,1.0,1.5,1.0,1.0,1.0,2.0
시티종합건설,3.78,785.0,1.1948574260711369,2.7,1.3,1.399385118870482,1.0,1.8425328133019163
에어부산,3.56,762.0,1.5,2.2,1.3,1.1,1.3,2.0
티머니,3.63,833.0,1.0,1.8,1.1,1.6,1.8,1.6
도로교통공단,3.66,772.0,1.0,2.8,1.1,1.2,1.6,1.6
SK E&S,3.72,839.0,1.0,2.3,1.2,1.1,2.0,2.0
킨텍스,3.81,905.0,1.0,2.4,1.6,1.6,1.3,3.0
한국갤럽조사연구소,3.69,849.0,1.0,2.3,1.0,2.0,3.0,2.3
한진정보통신,3.48,794.0,1.0,1.8,1.5,1.0,1.7358514368700433,1.7472956381288345
한국전기안전공사,3.67,788.0,1.0,3.0,1.1,1.5,1.6,1.5
KCC정보통신,3.45,711.0,1.0,2.3,1.3,1.0,1.9,1.3
한화63시티,3.59,749.0,2.0,3.0,1.0,1.0,1.5,1.7822159356922977
한국무역정보통신,3.61,746.0,1.4,2.1,1.4,1.6,1.7,1.8
코아비스,3.57,734.0,1.0,2.5,1.3,1.0,2.3,2.3
한화에너지,3.72,819.0,1.0,2.1,1.0,1.4,1.5,2.0
현대엠엔소프트,3.65,843.0,1.1,2.0,1.8,1.1,2.3,2.0
프리머스시네마,3.56,713.0,1.0,1.9,1.0,2.0,1.0,1.3
인디펜던스,3.82,840.0,1.0,1.3,1.0,1.0,1.0,1.5
두산베어스,3.54,730.0,1.153706820632475,1.2,1.2787341451574594,1.0,1.0,1.7663430731634508
글래드호텔앤리조트,3.74,721.0,1.2,1.7,1.2,1.0,1.0,2.5
동부철구,3.72,817.0,1.1845697747114716,1.9,1.0,2.0,1.3,1.8234853782673
나인디지트,2.82,685.9013121876974,1.0302550043164893,1.4,1.2588734937979775,1.8118456528716633,1.481803076387002,1.537773852748055
해비치컨트리클럽,3.68,783.960778278874,1.1777113404716943,2.3,1.2825959384773586,1.0,1.3,1.8107870882442225
코레일관광개발,3.53,736.0,1.3,2.3,1.3,2.0,2.2,1.8
칼호텔네트워크,3.4,806.0,1.0,1.8,1.0,2.0,1.7,1.0
한진드림익스프레스,3.59,857.0,1.1622798634321962,1.8,1.3,1.0,1.3,2.0
금호리조트,3.72,832.0,1.4,1.8,1.2,1.3,1.4,1.3
파르나스호텔,3.59,773.0,1.0,2.1,1.1,2.3,2.1,1.2
CJ엠디원,3.59,773.6987411297973,2.0,2.2,1.0,1.4810179328915491,2.0,2.0
삼강에스앤씨,3.5,708.0,1.1468483863926981,2.1,3.0,3.0,1.0,1.7536447831403734
현대아산,3.59,813.0,1.2,2.3,1.5,1.2,1.0,1.7
스마트로,3.4,801.0,1.0,2.1,1.0,1.0,2.3,1.5
케이티텔레캅,3.31,901.0,1.1142708237537573,2.0,1.3,1.0,1.7,4.8
KT엠하우스,3.69,796.0,1.0,2.7,1.3,1.4380532939330928,1.0,1.3
팍스넷,3.56,713.0,1.0,2.3,1.0,1.2,1.1,1.8
씨에스원파트너,3.57,636.0,1.3,2.0,1.4,1.6,1.9,2.2
지에스아이티엠(GSITM),3.62,753.0,1.167423689112029,3.1,1.5,1.0,1.3,1.0
동원팜스,3.85,843.0,1.2068596859907466,3.0,1.0,2.0,2.0,2.0
롯데부여리조트,3.56,750.0,1.0,2.0,1.3,1.3,1.0,1.3
한국건설관리공사,3.67,657.0,1.0,1.9,1.5,1.0,1.0,3.0
에이스냉동공조,3.45,680.0,1.1382753435929769,1.8,1.2762515637375242,1.5411684274333879,2.0,1.0
롯데자산개발,3.6,871.0,1.0,2.6,1.2,1.4,1.3,1.6
롯데닷컴,3.67,811.0,1.2,2.0,1.3,1.8,1.8,1.9
포스코휴먼스,3.35,770.0,1.0,2.9,1.0,1.0,2.3,1.6
한국철도공사,3.61,810.0,1.2,2.9,1.3,1.1,1.8,2.6
실리콘화일,3.68,725.0,1.1777113404716943,1.9,1.3,1.4423497578289382,1.0,1.0
넷마블앤파크,3.9,809.0457579766169,1.3,2.5,2.0,1.0,4.0,1.8806276833711488
스카이라이프TV,3.72,680.0,1.0,2.1,1.3,3.0,2.7,1.0
한화이글스,3.9,890.0,1.0,3.4,1.0,2.0,2.5,2.0
H&C네트워크,3.59,620.0,1.1,2.1,1.0,1.8,2.0,1.7
한진부산컨테이너터미널,3.9,835.0,1.2154327287904678,2.0,1.2886644708372004,1.3478275521203342,1.8975185753592512,1.8806276833711488
SK플래닛,3.61,830.0,1.0,1.9,1.2,1.1,1.5,1.5
메리트인,3.57,745.0,1.0,2.9,1.0,1.4896108606832403,2.3,1.0
에이에이아키그룹건축사사무소,3.7,876.0,1.0,2.8,1.3,1.0,1.5,1.0
롯데지에프알,3.6,774.8389674796948,1.1639944719921405,1.5,1.0,1.0,1.5,2.0
한화자산운용,3.64,832.0,1.0,2.7,1.0,1.0,1.0,1.7
한화종합화학,3.4,823.0,1.0,2.8,1.3,1.0,1.0,1.0
광주신세계,3.63,690.0,1.0,1.6,1.3,1.0,1.4,3.0
포스코A&C건축사사무소,3.84,821.0,2.0,2.5,2.0,2.0,2.8,1.0
CJ올리브영,3.64,848.0,1.2,2.2,1.0,1.4,1.4,1.5
삼성선물,3.55,861.0,1.1554214291924192,2.4,1.0,1.3,1.0,1.0
하이텔레서비스,3.72,740.0,1.3,2.2,1.2,2.7,1.3,1.5
이동의즐거움,3.62,802.0,1.167423689112029,2.5,1.2809408841974017,1.8,1.7,1.5
롯데물산,3.82,866.0,2.0,3.1,1.8,1.4,2.0,2.8
코레일유통,3.87,833.0,2.0,3.0,1.0,1.0,2.0,2.7
현대이엔티,3.45,644.0,1.1382753435929769,2.7,1.0,1.5411684274333879,1.0,1.0
해영선박,3.56,767.0,1.5,1.5,2.0,2.0,1.7666451775346543,2.0
롯데브랑제리,3.87,805.6250789269246,1.0,1.7,1.287836943697222,1.360716943807871,2.5,1.8711039658538409
클립서비스,3.63,847.0,1.1,2.0,1.3,2.6,2.2,1.8
CJ파워캐스트,3.63,744.0,1.0,2.2,1.1,1.0,1.0,2.5
싸이더스,3.16,828.0,2.0,1.0,1.0,3.0,1.0,1.0
동원로엑스,3.83,878.0,1.0,2.8,1.1,1.2,1.6,2.2
롯데후레쉬델리카,3.71,690.0,1.0,2.7,1.0,1.4294603661414014,1.8243834412808,1.0
종로학평,3.61,775.9791938295922,1.0,2.4,1.5,1.0,1.785891265450036,3.0
휴먼티에스에스,3.61,555.0,1.4,2.1,1.1,1.2,1.5,1.4
아인텔레서비스,3.7,609.0,1.2,1.9,1.5,1.8,1.0,1.3
씨브이네트,3.54,780.0,1.153706820632475,1.6,1.5,1.5025002523707771,1.7589467423685015,1.0
롯데제이티비,3.68,721.0,1.2,2.4,1.2,1.7,1.4,2.4
에스코어,3.51,822.0,1.1485629949526421,1.7,1.5,1.0,2.0,1.0
충북소주,3.44,756.5953458813364,1.0,2.0,1.2759757213575313,1.5454648913292337,1.7204545665377378,2.5
엔트리브소프트,3.59,759.0,1.5,2.3,1.1,2.0,2.3,1.0
제일종합기술,3.57,725.0,1.0,2.4,1.5,1.4896108606832403,2.5,1.775866790680759
한국도로공사,3.54,842.0,1.4,2.4,1.6,1.0,1.7,2.2
무주덕유산리조트,3.67,606.0,1.7,1.8,1.2,1.0,2.0,1.9
CJ건설,3.68,839.0,1.1777113404716943,1.9,1.4,1.1,1.5,1.0
삼성메디슨,3.68,841.0,1.3,2.3,1.5,1.3,1.7,3.3
의정부경전철,3.17,745.0,1.0902663039145377,2.1,1.5,1.6614694165170658,1.0,1.6488838904499834
KT링커스,3.41,771.0,1.1314169093531998,1.4,1.2751481942175529,1.5583542830167705,1.7089069137885087,2.0
삼성라이온즈,3.69,785.1010046287714,1.0,1.7,1.4,1.4380532939330928,1.5,1.0
디비아이엔씨,3.5,810.0,1.0,2.2,1.5,1.0,3.5,1.6
우성G&T,3.79,770.0,1.0,2.4,2.0,1.3950886549746362,1.5,1.0
나스미디어,3.6,801.0,1.3,1.8,1.1,1.6,1.4,1.4
에스엠피,3.75,820.0,1.189713600391304,2.0,1.2845268351373083,1.4122745105580188,1.0,1.0
아시아나에어포트,3.67,560.0,1.0,2.1,1.0,1.446646221724784,1.8089865709484945,1.0
세실,3.71,665.0,1.1828551661515272,2.5,1.3,1.4294603661414014,1.8243834412808,1.8203108057615305
서비스탑,3.62,603.0,1.1,2.3,1.3,1.8,2.2,2.2
코스모신소재,3.67,775.0,1.3,2.2,1.3,2.0,2.0,1.6
자이서비스,3.5,763.4367039807207,1.0,2.0,1.0,1.5196861079541597,1.743549872036196,1.7536447831403734
항공종합서비스,3.32,768.0,1.0,1.5,1.0,1.5970224580793813,1.6742639555408212,1.6965024780365243
한국후지필름투자,3.71,832.0,1.1,1.9,1.2,1.0,1.8,1.5
공항철도,3.51,798.0,1.2,2.4,1.3,5.0,4.0,2.0
부강주택관리,3.87,805.6250789269246,1.2102889031106352,2.9,1.287836943697222,1.360716943807871,1.885970922610022,1.8711039658538409
삼성바이오로직스,3.69,841.0,1.1,1.8,1.2,1.6,2.4,2.1
센트럴모터스,3.52,720.0,1.1502776035125866,2.1,1.2781824603974739,1.5110931801624685,1.7512483072023488,1.0
포스코O&M,3.49,746.0,1.0,2.5,1.0,1.5,1.3,1.6
서울고속버스터미널,3.66,920.0,1.174282123351806,2.2,1.282044253717373,1.0,1.0,2.7
미라콤아이앤씨,3.54,781.0,1.0,1.9,1.4,2.0,1.8,2.0
씨에스리더,3.51,695.0,1.0,1.8,1.2,1.0,1.3,1.4
세크론,3.81,510.0,1.2000012517509697,2.0,1.0,1.386495727182945,1.862875617111564,1.8520565308192245
한국토지주택공사,3.58,764.0,1.1,2.3,1.2,1.4,1.4,2.0
교보자산신탁,3.68,757.0,1.0,2.6,1.0,1.0,1.0,1.8107870882442225
에스케이핀크스,3.94,555.0,1.0,2.6,1.0,1.3306416965369516,1.9129154456915567,1.8933259733942265
한화갤러리아타임월드,3.49,762.2964776308233,1.0,1.6,1.0,1.5239825718500053,3.0,2.0
KT커머스,3.45,801.0,1.5,1.8,1.4,1.1,1.0,1.9
에스케이엠앤서비스,3.52,751.0,1.5,2.2,1.2,1.3,1.2,1.9
마제스티골프코리아,3.54,780.0,1.1,2.0,1.3,2.0,4.0,1.0
알티반도체,3.66,608.0,1.174282123351806,2.2,1.282044253717373,1.0,1.8051373533654183,1.0
아이지에스,3.36,990.0,1.0,1.2,2.0,1.0,1.6896608258731267,1.709200768059602
SK쉴더스,3.59,686.0,1.0,2.3,1.1,1.4,1.6,1.4
후레쉬서브,3.79,770.0,1.0,3.4,1.2856302046572794,1.3950886549746362,1.0,1.0
파워카본테크놀로지,3.68,783.960778278874,2.0,1.9,1.0,1.4423497578289382,1.7,3.0
ANTS,3.6,708.0,1.0,2.0,2.0,1.4767214689957033,1.0,1.7853905081980672
브로드밴드미디어,3.54,718.0,1.0,2.1,1.0,1.5025002523707771,1.7589467423685015,1.0
행복나래,3.46,800.0,1.3,2.2,1.1,1.5368719635375423,1.0,1.4
토리컴,3.61,615.0,1.0,2.2,1.0,1.4724250050998577,1.0,3.0
대홍기획,3.63,875.0,1.2,2.1,1.2,1.4,2.7,1.5
라한호텔,3.8,832.0,1.0,2.2,1.0,1.3,1.4,1.2
삼박엘에프티,3.35,650.0,1.1211292579935344,2.2,1.0,1.0,1.0,1.0
상락푸드,3.8,797.6434944776428,1.0,2.5,1.3,1.3907921910787906,1.8590263995284875,4.0
엔셰이퍼,3.38,825.0,1.1262730836733672,2.1,1.0,1.5712436747043075,1.6973592610392794,1.0
유비케어,3.63,790.0,1.2,2.1,1.8,1.0,2.0,2.0
에스에이관리,3.59,729.0,1.0,1.8,1.3,1.0,1.0,1.3
조이렌트카,3.38,760.0,1.1262730836733672,1.6,1.0,2.0,2.0,1.0
에이치에스애드,3.8,900.0,1.0,2.0,1.0,1.0,1.5,4.0
엘비유세스,3.68,661.0,1.1,2.1,1.4,1.2,1.7,1.9
한화에스테이트,3.53,722.0,1.0,2.7,1.3,2.5,1.5,1.3
신세계사이먼,3.64,866.0,1.0,2.3,1.0,1.3,1.0,1.5
온게임네트워크,3.67,782.8205519289766,2.0,6.0,2.0,1.446646221724784,2.5,1.0
하이즈복합재산업,3.5,654.0,1.0,2.2,1.0,1.0,2.0,1.5
리싸이텍코리아,3.57,734.0,1.0,1.8,1.0,1.4896108606832403,2.0,2.0
포스코경영연구원,3.86,858.0,1.2,1.8,1.1,2.0,2.3,2.0
포천파워,3.72,805.0,1.1845697747114716,2.1,1.0,1.0,1.0,2.7
GS텔레서비스,3.75,320.0,1.189713600391304,2.5,1.2845268351373083,1.4122745105580188,1.8397803116131055,1.8330090957846081
서비스에이스,3.6,715.0,1.2,2.0,1.2,1.6,1.6,1.8
씨디엠씩스,3.44,756.5953458813364,1.0,1.9,1.5,1.5454648913292337,1.7204545665377378,1.734597348105757
DB자동차보험손해사정,3.75,785.0,1.0,2.9,1.2,1.3,1.0,2.0
해비치호텔앤드리조트,3.69,733.0,1.0,2.1,1.1,1.1,1.5,2.0
KG올앳,3.5,783.0,1.0,1.9,1.5,2.0,2.3,1.5
동부엔지니어링,3.75,813.0,1.5,2.3,1.1,1.4122745105580188,1.0,2.0
한화컴파운드,3.38,802.0,1.1262730836733672,2.3,1.0,2.0,1.0,1.5
CJ엔시티,3.85,747.0,1.0,2.6,1.0,1.3693098715995624,1.0,1.864754820842302
코스모양행,3.54,740.0,1.153706820632475,2.3,1.3,1.5025002523707771,1.7589467423685015,1.7
한화큐셀코리아,3.6,727.0,1.3,2.4,1.8,1.3,4.0,2.5
시큐아이,3.57,699.0,1.0,2.4,1.4,1.3,2.3,1.8
SK오앤에스,3.5,721.0,1.0,2.3,1.0,1.2,2.1,1.6
비즈테크아이,3.61,770.0,1.0,2.3,2.0,1.0,2.5,3.0
하이엠솔루텍,3.6,790.0,1.3,1.9,1.0,1.3,1.0,1.6
조선호텔앤리조트 웨스틴조선서울,3.69,726.0,1.2,2.2,1.3,1.5,2.3,1.6
삼성자산운용,3.67,888.0,1.0,1.9,1.0,1.7,2.0,1.0
GS엔텍,3.39,810.0,1.1279876922333112,2.0,1.5,1.0,1.0,1.3
한국발전기술,3.44,754.0,1.1365607350330325,3.0,1.0,1.0,2.5,1.7
한국복합물류,3.35,455.0,1.1211292579935344,1.6,1.0,1.5841330663918443,1.6858116082900503,3.0
웰리브,3.5,788.0,1.0,3.0,1.2776307756374883,2.0,1.743549872036196,3.0
에스씨케이컴퍼니,3.61,758.0,1.2,2.0,1.3,1.7,1.7,1.7
아반시스코리아,3.68,756.0,1.0,2.3,1.3,2.0,1.8,1.8
성진E&T,3.56,765.0,1.0,1.9,1.3,2.0,1.0,1.0
유수홀딩스,3.6,780.0,1.4,2.2,1.1,1.4767214689957033,1.0,2.5
두산산업차량,3.58,787.0,1.0,1.9,1.4,1.2,1.3,1.7
플레넷,3.68,745.0,1.0,2.0,1.5,1.4423497578289382,1.812835788531571,1.8107870882442225
엔씨타스,3.52,610.0,1.0,2.5,2.0,2.0,2.0,1.0
푸르지오서비스,3.48,761.156251280926,1.0,2.9,1.2770790908775025,1.528279035745851,1.0,1.7472956381288345
진에어,3.65,810.0,1.1,2.5,1.4,1.6,1.0,1.8
한화라이프랩,3.88,806.765305276822,1.2120035116705794,2.0,1.2881127860772148,4.0,1.8898201401930985,1.0
금호개발상사,3.76,895.0,2.0,3.0,1.5,1.4079780466621732,2.5,1.8361836682903774
에어코리아,3.56,753.0,1.2,2.4,1.4,1.6,1.3,2.0
CJ텔레닉스,3.56,720.0,1.2,2.0,1.8,2.3,3.0,1.3
한화손해사정,3.52,813.0,1.0,2.1,1.0,1.5110931801624685,1.7512483072023488,2.0
두산큐벡스,3.81,625.0,1.0,2.3,1.3,1.386495727182945,1.862875617111564,2.0
영우냉동식품,3.46,750.0,1.1399899521529209,2.5,1.276527406117517,1.5368719635375423,1.7281530017038904,1.7409464931172958
파운텍,3.82,660.0,1.201715860310914,2.4,1.2864577317972579,1.3821992632870994,2.0,1.0
아트서비스,3.69,651.0,1.3,2.1,1.3,1.8,2.4,2.1
대한송유관공사,3.52,763.0,1.0,1.3,2.0,1.5110931801624685,1.0,1.7599939281519121
파스퇴르유업,3.75,791.9423627281558,1.189713600391304,2.4,1.0,1.4122745105580188,1.8397803116131055,1.8330090957846081
디비저축은행,3.63,900.0,1.0,2.6,1.0,1.3,2.5,1.5
롯데아사히주류,3.65,810.0,1.3,2.1,1.3,1.0,1.2,1.6
씨스페이시스,3.63,778.259646529387,1.169138297671973,2.6,1.0,1.0,1.793589700616189,1.5
현대건설인재개발원,3.74,643.0,1.18799899183136,2.6,1.0,2.0,2.5,1.5
픽스딕스,3.64,565.0,1.0,1.8,1.0,1.0,4.0,3.0
에프알엘코리아,3.68,840.0,1.2,2.2,1.3,1.4,1.6,1.9
애큐온캐피탈,3.75,791.9423627281558,1.189713600391304,1.6,1.0,1.0,1.0,1.0
코레일로지스,3.53,787.0,1.0,2.0,1.5,1.506796716266623,2.3,2.5
미디어웹,3.42,598.0,2.0,2.2,1.0,1.0,2.0,1.0
나이스평가정보,3.54,728.0,1.1,2.1,1.2,1.6,1.4,1.3
제이스테판,3.65,790.0,1.1725675147918617,1.4,1.5,1.4552391495164752,1.8012881357823418,1.0
스타리온,3.52,616.0,1.1502776035125866,1.8,1.0,2.0,1.0,1.2
티알엔,3.36,900.0,1.0,2.0,1.4,1.0,1.0,1.0
인그리디언코리아,3.59,865.0,1.0,2.3,1.3,1.0,1.6,1.5
콤텍시스템,3.56,695.0,1.3,2.7,1.0,1.0,1.5,4.0
도요엔지니어링코리아,3.51,805.0,1.2,2.2,1.3,1.5153896440583143,4.0,1.7568193556461427
한국모바일인증,3.66,713.0,1.174282123351806,2.4,1.3,1.3,1.0,1.7
코리아크레딧뷰로,3.69,844.0,1.5,2.2,2.0,1.3,3.5,1.0
한국투자저축은행,3.61,726.0,1.0,2.5,1.8,2.0,2.0,2.0
나래나노텍,3.58,687.0,1.6,2.3,1.2,1.0,1.8,2.6
마이다스아이티,3.69,856.0,1.1,2.2,1.3,1.3,1.8,1.9
웹젠온네트,3.52,678.0,1.0,1.5,1.0,1.0,1.0,2.0
트랜스코스모스,3.56,732.0,1.1,2.0,1.3,1.8,1.8,1.8
우리들병원,3.66,821.0,1.0,2.2,1.5,1.5,2.0,1.8
서경방송,3.69,775.0,2.5,1.8,1.0,4.0,1.5,2.0
농협유통 대전농산물종합유통센터,3.66,730.0,1.174282123351806,2.5,1.0,1.0,1.8051373533654183,2.0
농협충북유통,3.0,706.4253864858507,1.0611179583954857,3.0,1.0,1.7345093027464418,10.0,1.594916157851904
농협부산경남유통,3.62,550.0,1.167423689112029,2.3,1.0,1.4681285412040121,1.0,1.7917396532096062
동원테크,3.28,696.0,1.0,1.8,1.0,1.6142083136627638,1.0,1.5
한국수자원공사,3.65,809.0,1.0,2.3,1.3,1.4,1.6,2.0
일양약품,3.42,765.0,1.0,2.1,1.6,1.8,2.0,1.6
녹십자홀딩스,3.39,759.0,1.2,1.8,1.1,1.5,1.0,1.8
인터엠,3.55,755.0,1.3,2.2,1.4,1.5,1.6,1.9
풀무원,3.67,818.0,1.0,2.3,1.2,1.4,2.3,1.3
