기업명,평균 학점,평균 토익점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수
LG CNS,3.59,828.0,1.2,2.0,1.1,1.3,1.4,1.4
CJ대한통운,3.65,865.0,1.1,2.1,1.2,1.1,1.5,1.5
경남은행,3.68,781.0,1.2,2.2,1.7,1.4,1.7,1.7
신한금융지주회사,3.56,806.0,1.0,2.5,1.3,1.0,1.0,1.8
삼성석유화학,3.69,833.0,1.0,2.0,1.0,1.0,1.0,1.0
HSD엔진,3.66,786.0,1.3,1.8,1.1,1.3,2.0,1.2
아모레퍼시픽,3.67,839.0,1.3,2.1,1.2,1.3,2.1,1.5
LG,3.63,826.0,1.0,1.6,1.0,1.0,1.3,1.1
풍산,3.63,789.0,1.169138297671973,2.7,1.0,1.0,2.0,2.0
흥국화재해상보험,3.69,836.0,1.3,2.1,1.8,2.0,1.8166850061146473,1.5
삼성그룹,3.64,830.0,1.2,2.0,1.2,1.6,1.9,1.9
경남기업,3.56,804.0,1.0,2.0,1.6,1.0,1.2,1.6
도시바삼성스토리지,3.56,821.0,1.1571360377523634,2.8,1.279285829917445,1.0,1.7666451775346543,1.0
대한유화,3.71,797.0,1.1828551661515272,2.6,1.0,1.4294603661414014,1.3,3.0
에이치엘디앤아이한라 주식회사,3.7,820.0,1.3,2.0,1.0,1.0,2.0,1.2
STX엔진,3.73,807.0,1.0,1.6,1.2,1.1,1.5,1.0
서울보증보험,3.64,778.0,1.1,2.1,1.1,1.5,1.6,1.8
신영증권,3.75,833.0,1.3,1.9,1.4,1.0,2.3,2.3
케이씨씨건설,3.58,817.0,1.0,2.0,1.2,1.1,1.0,1.4
LG생활건강,3.62,861.0,1.2,2.1,1.2,1.2,1.6,1.4
한라홀딩스,3.64,845.0,1.0,2.2,1.2,1.0,1.8,3.3
삼양사,3.59,875.0,1.1622798634321962,3.0,1.0,1.1,3.3,3.4
노벨리스코리아,3.61,823.0,1.5,2.5,1.1,1.2,2.0,2.2
디비생명보험,3.56,758.0,1.1,2.1,1.2,1.4,1.9,1.6
삼성전자판매,3.57,758.0,1.1,2.2,1.5,1.5,1.9,2.1
메트라이프생명보험,3.57,780.0,1.1,2.1,1.3,1.8,1.8,1.7
푸르덴셜생명보험,3.54,825.0,1.1,2.0,1.3,1.4,1.0,1.6
엘에스일렉트릭,3.68,792.0,1.5,2.0,1.0,1.0,1.4,1.5
LX하우시스,3.71,836.0,1.0,2.1,1.5,1.1,1.7,1.7
서울도시가스,3.33,838.0,1.0,2.0,1.3,1.0,1.3,3.0
코웨이,3.65,787.0,1.2,2.0,1.3,1.6,1.5,1.8
한온시스템,3.66,805.0,1.2,2.0,1.2,1.0,1.6,1.0
한화손해보험,3.63,810.0,1.0,2.0,1.0,1.4,1.8,1.6
한솔홀딩스,3.62,825.0,1.3,2.3,1.2,1.0,1.0,2.2
오뚜기,3.59,814.0,1.2,2.5,1.2,1.2,2.6,1.9
코오롱글로벌,3.61,811.0,1.3,2.0,1.2,1.3,1.6,2.0
태영건설,3.62,807.0,1.167423689112029,1.9,1.2,1.0,3.0,1.7917396532096062
우리금융지주,3.44,933.0,1.3,2.0,1.2,2.5,1.0,1.4
동서식품,3.8,864.0,1.7,2.2,1.4,1.3,1.0,1.5
한국증권금융,3.75,883.0,1.0,1.8,1.0,1.0,3.0,2.3
롯데지주,3.58,807.0,1.0,2.1,1.2,1.5,1.8,1.7
SK,3.55,798.0,1.1,2.1,1.3,1.1,1.4,1.1
히타치엘지데이터스토리지코리아,3.56,795.0,1.3,1.9,1.4,1.8,2.7,1.7
현대파워텍,3.63,823.0,1.0,2.2,1.3,1.1,1.3,1.4
유니온스틸,3.77,796.0,1.0,2.2,1.0,1.0,1.8474787467792584,1.0
SK디스커버리,3.76,824.0,1.0,1.7,1.2,1.1,1.3,1.4
롯데손해보험,3.56,783.0,1.1,2.0,1.2,1.3,1.8,1.6
세아창원특수강,3.71,878.0,1.1828551661515272,1.8,1.0,1.0,1.3,1.5
STX중공업,3.69,811.0,1.1794259490316388,2.0,1.3,1.2,1.0,1.0
벽산건설,3.56,802.0,1.0,1.8,1.2,1.0,1.0,1.0
한국지역난방공사,3.68,789.0,1.5,3.3,1.3,1.3,2.6,2.0
세아제강,3.66,832.0,1.3,2.7,1.6,1.4,1.0,2.0
세아베스틸,3.7,828.0,1.0,2.2,1.3,1.5,3.0,1.3
네이버,3.67,800.0,1.2,2.0,1.3,1.2,2.8,1.7
광주은행,3.73,808.0,1.0,2.1,1.3,1.8,3.0,2.0
교보증권,3.66,844.0,1.0,2.6,1.2,1.0,1.3,1.3
롯데칠성음료,3.63,817.0,1.5,2.4,1.3,1.4,2.2,2.3
코스트코코리아,3.54,829.0,1.1,2.1,1.2,1.6,1.4,1.5
호텔신라,3.69,790.0,1.1,2.3,1.3,1.4,1.7,1.4
계룡건설산업,3.53,799.0,1.4,2.2,1.3,1.8,1.6,1.6
SKC,3.59,813.0,1.4,1.9,1.1,1.0,1.5,1.3
한국아이비엠,3.63,841.0,1.1,2.4,1.2,1.2,3.9,2.2
강원랜드,3.67,795.0,1.3,2.0,1.3,1.0,2.2,2.7
두산,3.53,779.0,1.0,2.1,1.4,1.0,2.9,2.3
희성전자,3.44,721.0,1.1365607350330325,2.1,1.0,1.5,1.7204545665377378,2.0
소니코리아,3.57,773.0,1.4,2.0,1.3,1.8,2.5,1.3
아이마켓코리아,3.61,791.0,1.1,2.3,1.3,1.4,1.5,1.6
팬택자산관리,3.61,826.0,1.1,1.9,1.2,1.2,1.5,1.6
텍사스인스트루먼트코리아,3.71,859.0,1.0,2.3,1.0,1.0,1.0,2.3
GS글로벌,3.65,825.0,1.8,2.4,1.5,1.5,1.0,1.7
DB하이텍,3.65,815.0,1.5,2.2,1.3,1.0,1.2,1.8
코원에너지서비스,3.56,859.0,2.0,2.2,1.3,1.9,1.5,1.6
에이지씨화인테크노한국,3.56,831.0,1.4,2.4,1.4,1.0,3.0,1.4
글로벌세아,3.7,895.0,1.1,2.1,1.3,1.4,1.8,1.4
농협사료,3.7,798.0,1.0,1.8,1.0,1.5,2.3,1.0
LX Pantos,3.72,867.0,1.2,2.5,1.4,1.5,1.5,2.0
유한킴벌리,3.63,860.0,1.7,2.1,1.3,1.3,1.9,2.0
대우전자,3.59,817.0,1.0,2.3,1.3,1.2,2.2,1.8
대한제당,3.54,856.0,1.0,2.0,1.3,1.3,3.0,2.2
현대엔지니어링,3.68,851.0,1.1,1.9,1.2,1.1,1.4,1.5
삼성전자로지텍,3.44,784.0,1.0,2.0,1.3,1.3,1.7204545665377378,1.2
한국쓰리엠,3.55,854.0,1.0,2.7,1.3,1.3,1.7,2.3
롯데카드,3.66,785.0,1.1,2.1,1.1,1.4,2.1,1.5
볼보그룹코리아,3.67,853.0,1.0,2.0,1.3,1.5,1.8089865709484945,1.0
부영,3.49,776.0,2.0,1.7,1.0,4.0,1.0,1.8
한국항공우주산업,3.64,808.0,1.2,2.3,1.5,1.2,1.8,1.3
쌍용C&E,3.68,813.0,1.2,2.0,1.2,1.0,2.0,1.8
이수화학,3.65,810.0,1.1725675147918617,2.0,1.0,1.0,2.5,1.1
에치와이,3.68,824.0,1.0,2.0,1.2,1.0,1.6,1.3
현대엠코,3.58,773.0,1.3,2.0,1.2,1.2,1.4,1.2
한신공영,3.52,818.0,1.0,2.2,1.1,1.6,1.8,1.9
케이지모빌리티,3.54,798.0,1.0,2.0,1.2,1.0,1.7589467423685015,1.0
롯데정밀화학,3.8,832.0,1.6,1.9,2.2,1.2,1.9,1.5
현대L&C,3.88,768.0,1.0,2.7,1.0,1.2,1.3,2.0
하이트맥주,3.38,816.0,1.0,1.5,1.0,1.0,1.6973592610392794,1.0
아워홈,3.65,755.0,1.2,2.3,1.2,1.7,1.8,1.7
대상,3.64,794.0,1.0,2.1,1.2,1.1,1.4,2.1
남양유업,3.67,794.0,1.0,2.4,1.0,1.6,1.0,1.5
파리크라상,3.69,773.0,1.2,2.3,1.3,1.8,1.6,1.8
STX중공업,3.75,801.0,1.189713600391304,2.0,1.3,1.0,1.0,1.3
농협유통,3.51,801.0,1.3,1.9,1.3,1.5,1.0,2.0
동양건설산업,3.71,873.0,1.0,1.2,1.0,1.3,1.8243834412808,1.0
이랜드월드,3.64,858.0,1.4,2.0,1.2,1.2,1.7,1.9
남해화학,3.65,775.0,1.1725675147918617,2.3,1.0,1.5,1.8012881357823418,1.0
풍림산업,3.68,844.0,1.3,2.0,1.4,1.4423497578289382,1.5,2.0
그린손해보험,3.58,753.0,1.6,2.2,1.3,2.0,1.0,1.0
엘아이지넥스원,3.75,806.0,1.189713600391304,1.8,1.2,1.3,1.7,1.7
넥센타이어,3.58,783.0,1.3,2.3,1.1,1.4,1.3,2.0
휴비스,3.8,806.0,1.0,2.4,1.2,1.5,2.7,1.7
신동아건설,3.87,835.0,1.3,2.4,1.3,1.0,3.5,1.2
남양건설,3.68,654.0,1.1777113404716943,2.4,1.5,2.0,1.0,3.0
한양,3.61,787.0,1.1657090805520847,1.9,1.0,1.4724250050998577,1.785891265450036,2.0
경동인베스트,3.39,860.0,1.1279876922333112,1.5,1.0,1.5669472108084617,1.7012084786223558,1.0
이랜드리테일,3.59,829.0,1.1,2.1,1.3,1.2,1.7,1.6
LF,3.67,873.0,1.0,1.9,1.5,1.3,2.1,1.8
SPP조선,3.57,772.0,1.0,2.3,1.0,1.0,1.0,1.5
한진,3.67,846.0,1.1,2.5,1.4,1.4,1.4,2.0
하이프라자,3.53,752.0,1.5,2.2,1.2,1.6,3.5,1.8
도시바일렉트로닉스코리아,3.54,840.0,1.1,1.7,1.5,1.5025002523707771,1.7589467423685015,1.7663430731634508
일진전기,3.58,810.0,1.0,2.5,1.4,1.2,1.7,1.7
서희건설,3.57,748.0,1.0,2.0,1.0,1.3,2.0,2.7
삼환기업,3.62,716.0,1.0,2.2,1.0,1.0,1.0,1.5
대교,3.62,790.0,1.1,2.1,1.3,1.1,1.9,2.0
폴리미래,3.66,864.0,1.0,2.3,1.7,1.4509426856206296,2.7,1.0
카길애그리퓨리나,3.54,790.0,1.0,1.8,1.0,1.0,1.0,3.0
현대백화점,3.59,797.0,1.1,2.0,1.2,1.6,2.4,2.3
매일유업,3.65,858.0,1.1,2.1,1.3,1.4,2.1,2.4
부산도시가스,3.65,852.0,1.0,2.4,1.0,1.1,1.0,1.0
