회사명,키워드
고원물산,"석유화학, 화학, 화공, 국내영업"
고집돌우럭 제주공항점,"한식당, 식품, 음식료"
고척산업용품종합상가사업협동조합,"조합, 가스점검, 에너지기능사, A·S수리, 기술지원"
고청담 여의도점,"한식당, 호텔, 호텔, 서빙, 양식"
고쳐줄 개,애견관리
고피자 AK수원점,"베이커리, 호텔, 고객안내, 호텔, 서빙"
골드몰,"고객경험관리, 상품기획, 교환·반품, 배송상담, 원격상담"
골든구스코리아,"발렌시아가, 판매, 럭셔리, 의류판매, 명품"
골든듀,"고객관리, 판매, 주얼리판매, 백화점, 샵마스터"
골든스타(Golden star)대부,"채권추심, 채권, 채권"
골든카우보이,"매출관리, 프랜차이즈"
골든크라운 대구카지노,"보안, 안전요원"
골프프렌드 전주효자점,"재고관리, 판매, 매출관리, 진열관리, 캐셔"
곳간로지스,"모바일앱개발, PM/PO, 솔루션, UI·UX기획, 콘텐츠기획"
공간앤공감,"실내건축, 인테리어, 리모델링, 전시디자인"
공감INT,"메뉴기획, 자격증·기술, 직업훈련"
공감플러스,"창고관리, 물류센터, 상품입출고, 재고관리, 지게차운전"
공게임즈,"2D온라인게임, 3D온라인게임, 게임개발, 게임소프트웨어, 무선게임"
공부열기학원,영어
공임나라 평택점,"조립, 자동차튜닝, A·S수리, 경정비, 기술지원"
공차코리아,"헤드헌팅, 생산기술, 정보통신, 반도체장비, 시스템분석, 디스플레이, 서치펌, 헤드헌팅, 서치펌, 헤드헌팅, 네트워크관리, 정보보안, 솔루션, SI, ERP, 정보보안, 거래처관리, 기계, 대리점관리, 전동공구, 절삭공구"
공항농산,"창고관리, 운송, 배송, 지게차운전, 물류"
관세법인 뮤추얼스탠다드 (MUS),"통관, 컨설팅"
관웅2공장,"생산관리, 자동차부품"
관작진테크,자동차부품
광고시장,"시공관리, 간판·판넬"
광고인,"광고기획, 광고대행, 광고디자인, 광고제작, 온라인광고, PM, UI·UX기획, 스토리보드, 서비스기획"
광고천하,"조립, 인쇄기계"
광덕안정한의원의정부점,"한의과, 한의과, 병동간호사"
광성물류,"물류센터, 지게차운전"
광성산업개발,"건설, 건설안전, 산업안전, 시공관리"
광성엘리베이터,"엘리베이터, A·S수리, 유지보수, 유지보수"
광안예성학원,"교사, 학원강사, 보습학원, 일반학원"
광영,"상가, 분양, 오피스텔, 사업성검토, 부동산컨설팅"
광영디앤엠,"법무, 사무장, 부동산개발, 사무실, 상가"
광우메딕스,"웨딩, 이벤트"
광천다솔김,"식품가공, 전산입력, 사이트관리, 고객지원"
교래공간,"일식당, 와인바, 양식당"
교세라도큐먼트솔루션스코리아,"소프트웨어개발, 솔루션, SI, 네트워크관리"
교원,렌탈
교원구몬,"학습지, 학습지교사, 교사, 과외교사, 방문교사, 영어, 학습지, 어린이집, 학습지교사, 교사, 영어, 학습지, 교육상담, 학습지교사, 교사"
교원위즈,"교육상담, 학생관리"
교원프라퍼티,"시설관리, 공조냉동, 호텔"
구건산업,"임대컨설팅, 토지개발, 전산입력"
구니스,"부가세신고, 단체급식, 총무, 인사, 법인결산"
구다이글로벌,"화장품, 영상제작, 프로모션, CS교육, 고객문의분석"
구룡산전,"A·S수리, 유지보수, 유지보수, 자재관리"
구성커뮤니케이션즈,"교수설계, 기업교육, e러닝, 자격증·기술, 사회교육"
구의미술로생각하기학원,"전자, 항공운송, 무인항공기·드론"
구주기술,"회로설계, 회로설계"
국내 HMR 유통기업,"온라인MD, 홈쇼핑, 식품MD"
국내 대기업,화장품
국내 리딩 F&B기업,"피킹, 물류센터, 서치펌, 헤드헌팅, 창고관리"
국내 상위 연계 기획 및 콘텐츠 제작사,"헤드헌팅, 광고기획"
국내 유망 시스템 반도체 솔루션 공급 / LED패키지 제조기업,"발광다이오드, 브랜드기획, 신사업기획, 전략기획, LED"
"국내 유망 컴퓨터,자동제어기, 유무선콘텐츠 개발기업","A·S수리, 하드웨어, 컴퓨터, AS"
국내 유명저축은행,"사내변호사, 해상운송, 빅데이터, 데이터분석, 저축은행"
국내 중견 HMR 유통 회사,"서치펌, 인재발굴"
국내 중소 업체,온라인광고
국내 최대 반도체/전기전자 대기업,"반도체장비, 전기·전자, 반도체, 제조·공정, R&D"
국내유명유가공제조유통기업,"인사행정, 식품가공, 인사기획"
국내유명제약사,"인터넷교육, UI·UX기획, 콘텐츠기획, 스토리보드, 서비스기획"
국내유명호텔리조트그룹계열 침구류회사,"재무회계, 재무회계, 기업회계, 결산, 재무기획"
국대인테리어,"시공관리, 안전평가, 실내건축, 인테리어, 건설안전"
국도산업안전,"순찰, 산업안전, 건설안전, 산업안전"
국립중앙의료원,"임상병리사, 공공의료기획평가팀, 생명공학, 행정, 치매사례관리팀, 행정, 감염병병원설립기획팀, 행정, 공공의료사업지원팀, 건설·교통"
국일INNTOT,"석유화학, 조립, 연마, 절단, 연삭"
국제갤러리홀딩,"양식, 양식, 양식당, 양식, 양식당"
국제엘렉트릭코리아,"WAS, 솔루션, 스토리지, 시스템운영, SI"
국제이엔아이,"조립, 전기제어, 설비, 전기설비, 회로"
굿모닝 공인중개사사무소,"공인중개사, 부동산중개, 부동산관리, 부동산컨설팅, 부동산서비스"
굿스틸,"고객관리, 거래처관리, 거래선개발관리, 철강, 국내영업"
굿앤컴퍼니,"CAD, 납품영업, 실내건축, 유통영업, 기술영업"
굿앤피플컴퍼니,"물류센터, 배송, 운송, 육상운송, 택배, 물류센터, 창고관리, 택배, 중장비운전, 육상운송"
궁전노인전문요양원,"B2B, 사이트관리, B2C, 전자상거래, 쇼핑몰"
권민,"어학원, 영어학원, 영어"
규,"B2C, 상품기획, 문서관리, 전자상거래, 문서작성, 사이트관리, 상품기획, 전자상거래, 쇼핑몰, 오픈마켓"
그날성형외과의원,"성형외과, 해외마케팅"
그라비티,"2D온라인게임, 모바일앱게임, 방송기획, 방송제작, 3D매핑"
그라운드라이프,"시각디자인, 브랜드디자인"
그랜드 하얏트 서울,"호텔, 인사교육, 교육기획, 브랜딩, 이벤트기획, 호텔리어, 중식, 호텔, 양식, 컨시어지"
그러하다,"스튜디오, 매출관리, 판매관리, 판매영업"
그레이비랩,"편집, 실사출력, 편집디자인, 전단지디자인, 옥외광고"
그레이트아웃컴,"홍보대행, CG, 이벤트, 프로모션대행, 이벤트대행"
그로비교육,"고객경험관리, 원격상담, 콜통계분석, 전화상담, 고객지원"
그루트(Groot),"납품영업, 인테리어디자인, 인테리어, 리모델링, 국내영업"
그룹레이어스,"CG, 건축cg, 공업디자인, 시각디자인, 건축 그래픽"
그리핀베이호텔,프런트
그린랩스,"거래처관리, 영업기획, 신사업기획, 데이터분석, 농산물"
그린스토어,"거래처관리, 바이오, 영양, 제약영업, 약국"
그린시스템,소프트웨어개발
그린시카고치과,"치과병의원, 접수·예약, 진료보조"
그린씨알피,"생산관리, 인쇄, 출력, 포장인쇄"
그린에그에프엔비,카페
그린에스씨에이,"전기설계, 전기제어, 자동제어, 기구설계"
그린엔텍,"수질환경, 대기환경, 폐기물처리, 화공, 설비"
그린유즈,"감정, 커뮤니티, 소셜네트워크서비스(SNS), 포털"
그린정보시스템,컴퓨터
그린케이브,양식당
그린타이어,"배송, 택배, 납품, 물류센터, 재고관리"
그린포스트코리아,"급여관리, 행정, 계산서발행, 비품관리, 행정"
그린프로그,카페
그릿모터테인먼트,"사이트관리, 복리후생, 자료조사, 비품관리, 문서관리"
그릿앤그로우,"모바일앱개발, SI개발, 솔루션, PM, 시스템분석"
극동글로비스,"수행기사, 택배, 중장비운전, 육상운송, 운송"
글로리서울안과,수술실보조
글로벌,"경영컨설팅, 컨설팅"
글로벌 기업,"기업홍보, 광고기획, 시장분석, 포지셔닝, 언론홍보"
글로벌 온 에듀케이션,"전산입력, e러닝, 문서관리, 교육상담, CS교육"
글로벌 이아이,"대학강사, 어학원, 영어학원, 유학, 영어"
글로벌금융판매,"자동차보험, 생명보험, 화재보험, 손해보험, 재정설계, 보험영업, 생명보험, 화재보험, 보험영업"
