회사명,공고명,"채용 형태(경력, 신입)",학력,직장 위치,키워드,마감 기한,공고 링크
㈜아그라홀딩스,Indian Dining `아그라` 자사 브랜드 QC(Quality Control) 모집,경력무관,학력무관,서울 중구,"메뉴개발, 프랜차이즈, Quality Control, 패밀리레스토랑, QC",~01/16(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43353375?Oem_Code=C1&logpath=1&stext=&listno=57949
㈜누리인터내셔널,프랜차이즈 카페 영업 및 바이저로 근무 하실 분 모집 합니다.,경력,학력무관,경기 하남시,"납품영업, 프랜차이즈, 카페, 커피숍",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43353372?Oem_Code=C1&logpath=1&stext=&listno=57950
에스앤에이치 커뮤니케이션,지식산업센터 분양홍보관 분양컨설팅 구인공고(현장직영분양대행사),신입·경력,고졸↑,경기 하남시 외,"상가, 분양, 공인중개사, 부동산컨설팅, 부동산컨설팅",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43353371?Oem_Code=C1&logpath=1&stext=&listno=57951
바이오닉스,생명공학연구소관련 영업사원모집,신입·경력1년↑,초대졸↑,서울 성동구,"생명공학, 제약·바이오R&D",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43353365?Oem_Code=C1&logpath=1&stext=&listno=57952
디에이치아이㈜,현대삼호중공업 현장 사무실관리자(공정기사) 모집,경력무관,학력무관,전남 영암군,"조선, 생산관리",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43353364?Oem_Code=C1&logpath=1&stext=&listno=57953
아훔㈜,[MBC아카데미 안산캠퍼스] 뷰티 일러스트 강사,경력무관,초대졸↑,경기 안산시 외,"메이크업, 학원강사, 자격증·기술",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43353362?Oem_Code=C1&logpath=1&stext=&listno=57954
ASIANCE,[아지앙스코리아] 디지털 마케터 채용,경력2년↑,학력무관,서울 중구 외,"SNS마케팅, 키워드광고, 웹에이전시",~01/16(화),https://www.jobkorea.co.kr//Recruit/GI_Read/43353360?Oem_Code=C1&logpath=1&stext=&listno=57955
㈜도움F&B,민소한우 직영점 캐셔 모집,경력무관,초대졸↑,서울 양천구,"프랜차이즈, 매출관리, 캐셔",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43353357?Oem_Code=C1&logpath=1&stext=&listno=57956
㈜인디제이,음악 스트리밍 및 커뮤니티 플랫폼 서비스 기획자 채용,경력1년↑,학력무관,광주 동구,"인터넷방송, 컨텐츠, 콘텐츠기획, 인터넷영화, 커뮤니티",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43353356?Oem_Code=C1&logpath=1&stext=&listno=57957
㈜포르텍,화장품 해외영업 경력사원 채용,경력3년↑,초대졸↑,서울 영등포구 외,"거래처영업, 영업기획, 식품영업, 화장품영업",~12/14(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43353354?Oem_Code=C1&logpath=1&stext=&listno=57958
아훔㈜,[MBC아카데미 안산캠퍼스] 아트마스크 강사,경력무관,초대졸↑,경기 안산시 외,"메이크업, 학원강사, 자격증·기술",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43353349?Oem_Code=C1&logpath=1&stext=&listno=57959
주식회사 캐리보틀,"텀블러수입유통업체 라벨링, 래핑, 출고업무",경력무관,학력무관,경기 시흥시,"물류센터, 전자상거래, 쇼핑몰",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43353347?Oem_Code=C1&logpath=1&stext=&listno=57960
㈜지엘커뮤니케이션즈,[브랜드: 카밀 외] 오프라인 유통채널 영업 경력사원 채용,경력3년↑,초대졸↑,서울 강남구,"마트, 거래처관리, 영업기획, 유통, 백화점",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351467?Oem_Code=C1&logpath=1&stext=&listno=58361
㈜인투온,국제회의/국내회의/컨퍼런스 기획자 모집(경력자),경력3년↑,학력무관,서울 용산구,"국제회의 기획, 국제회의, 컨벤션, 컨퍼런스 기획, 전략기획",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351462?Oem_Code=C1&logpath=1&stext=&listno=58362
㈜에스에이티(SAT),"[경기,인천,서울]KICC벤,이지포스 경력자 / 포스기,키오스크,카드단말기 설치 및 A/S 기사 모집",경력,학력무관,경기 고양시 외,"A·S수리, 설치, 유지보수",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351460?Oem_Code=C1&logpath=1&stext=&listno=58363
엠케이유니버셜,에스테틱 화장품 브랜드 교육영업팀 채용(정규직),경력,초대졸↑,서울 강서구,피부관리,~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351459?Oem_Code=C1&logpath=1&stext=&listno=58364
스코트라㈜,[정규직] 수상태양광 EPC 현장관리자 모집 (경력),경력3년↑,초대졸↑,경기,"프라스틱제조, 에너지, 전기설비, 건축시공",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43351449?Oem_Code=C1&logpath=1&stext=&listno=58365
에이치티오인터내셔널㈜,비건 스킨케어 화장품 브랜드 써니콘 상품기획 BM (신입/경력) 채용,경력1년↑,학력무관,경기 남양주시 외,"화장품, 기업홍보, 시장조사, 프로모션, 브랜드기획",~12/17(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43351446?Oem_Code=C1&logpath=1&stext=&listno=58366
㈜골든크라운 대구카지노,주)골든크라운 대구카지노 보안 담당자 채용(신입 및 경력자),경력무관,학력무관,대구 수성구 외,"보안, 안전요원",상시채용,https://www.jobkorea.co.kr//Recruit/GI_Read/43351445?Oem_Code=C1&logpath=1&stext=&listno=58367
