,회사명,총점,"직무, 지역"
2981,웰컴크레디라인대부,40.0,"인사/총무, 서울"
2982,웰코리아,80.0,"개발, 대전"
2983,웰코리아,60.0,"생산/제조, 기타"
2984,웰코리아,20.0,"생산/제조, 대전"
2985,웰텍,40.0,"생산/제조, 강원"
2986,웰텍,40.0,"생산관리/품질관리, 강원"
2987,웰텍,40.0,"영업/제휴, 경기"
2988,웰튼병원,20.0,"금융/재무, 서울"
2989,웰튼병원,30.0,"기획/경영, 서울"
2990,웰튼병원,20.0,"의약, 서울"
2991,웰튼병원,20.0,"인사/총무, 서울"
2992,웹케시네트웍스,46.667,"서비스/고객지원, 서울"
2993,웹케시네트웍스,40.0,"영업/제휴, 서울"
2994,웹케시네트웍스,40.0,"영업/제휴, 인천"
2995,위드시스템,60.0,"개발, 서울"
2996,위드시스템,50.0,"기획/경영, 서울"
2997,위드시스템,20.0,"디자인, 서울"
2998,위쉬정보기술,20.0,"개발, 서울"
2999,위쉬정보기술,20.0,"개발, 충남"
3000,위쉬정보기술,20.0,"서비스/고객지원, 서울"
3001,위아코퍼레이션,53.333,"생산/제조, 경기"
3002,위아코퍼레이션,50.0,"연구개발, 경기"
3003,위월드,60.0,"개발, 대전"
3004,위월드,20.0,"기획/경영, 대전"
3005,위월드,40.0,"생산/제조, 대전"
3006,위월드,80.0,"인사/총무, 대전"
3007,위즈바이오솔루션즈,40.0,"기획/경영, 경기"
3008,위즈바이오솔루션즈,20.0,"생산/제조, 경기"
3009,위즈바이오솔루션즈,60.0,"생산관리/품질관리, 경기"
3010,위즈바이오솔루션즈,80.0,"연구개발, 경기"
3011,위즈코어,60.0,"개발, 서울"
3012,위즈코어,60.0,"영업/제휴, 서울"
3013,위첸만코리아,60.0,"개발, 충남"
3014,위첸만코리아,40.0,"기획/경영, 충남"
3015,위첸만코리아,60.0,"생산/제조, 충남"
3016,위첸만코리아,60.0,"생산관리/품질관리, 충남"
3017,위첸만코리아,20.0,"서비스/고객지원, 충남"
3018,위프코,53.333,"개발, 경기"
3019,위프코,50.0,"연구개발, 경기"
3020,윈포시스,30.0,"개발, 경기"
3021,윈포시스,20.0,"연구개발, 경기"
3022,윌로펌프,100.0,"생산관리/품질관리, 부산"
3023,윌로펌프,80.0,"영업/제휴, 부산"
3024,윌로펌프,80.0,"영업/제휴, 서울"
3025,윌로펌프,50.0,"유통/무역, 서울"
3026,윌슨파킹코리아,50.0,"서비스/고객지원, 서울"
3027,윌슨파킹코리아,46.667,"영업/제휴, 서울"
3028,윌테크놀러지,20.0,"기획/경영, 경기"
3029,윌테크놀러지,40.0,"생산/제조, 경기"
3030,윌테크놀러지,100.0,"생산관리/품질관리, 경기"
3031,윌테크놀러지,60.0,"엔지니어링, 경기"
3032,윌헴슨쉽매니지먼트코리아,40.0,"유통/무역, 해외"
3033,윌헴슨쉽매니지먼트코리아,100.0,"인사/총무, 부산"
3034,윌헴슨쉽매니지먼트코리아,70.0,"전문직, 부산"
3035,윌헴슨쉽매니지먼트코리아,20.0,"전문직, 해외"
3036,윌헴슨협운쉽스서비스,40.0,"기획/경영, 부산"
3037,윌헴슨협운쉽스서비스,20.0,"서비스/고객지원, 서울"
3038,윌헴슨협운쉽스서비스,53.333,"유통/무역, 서울"
3039,윙스몰,20.0,"기획/경영, 서울"
3040,윙스몰,80.0,"디자인, 서울"
3041,윙스몰,80.0,"마케팅/시장조사, 서울"
3042,윙스몰,60.0,"생산/제조, 서울"
3043,윙스몰,60.0,"서비스/고객지원, 서울"
3044,유경제어,50.0,"생산/제조, 서울"
3045,유경제어,73.333,"연구개발, 서울"
3046,유남전기,100.0,"기획/경영, 해외"
